"Database","LogNumber","Project","Date","Station","SerialNumber","Year","Month","Region","SurfaceTemperature","SurfaceConductivity","SurfacePPT","Secchi","Turbidity","ForkLength","TotalBodyWeight","GutContents","acartela","allcopnaup","daphnia","eurytem","limno","othcalad","othcaljuv","othclad","othcyc","other","pdiapfor","pdiapjuv","sino","amphipod","mysids","SampleID"
"FLaSH",182,"FMWT",2011-11-21,"719","2981",2011,11,"Lower",12.6,365,0.16,21,54.2,55,1.6939,"Y",0,0,0,0,0,0,0,0,6.72,0,130.34,1.15,57.97,0.0576157173025929,0,"FLaSH 182 FMWT 2011-11-21 719 2981"
"FLaSH",184,"FMWT",2011-11-21,"719","2975",2011,11,"Lower",12.6,365,0.16,21,54.2,57,1.658,"Y",0,0,0,0,0,0,9.05,0,11.68,0,202.16,4.6,17.05,0,2.28910795602412,"FLaSH 184 FMWT 2011-11-21 719 2975"
"FLaSH",199,"FMWT",2011-11-21,"719","2978",2011,11,"Lower",12.6,365,0.16,21,54.2,59,2.1329,"Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.565361320616,"FLaSH 199 FMWT 2011-11-21 719 2978"
"FLaSH",171,"FMWT",2011-11-21,"797","3045",2011,11,"Middle",12.5,527,0.24,21,75.5,66,2.5463,"Y",21.36,0,0,0,0,0,0,0,6.72,0,58.52,0,3.41,0,3.45259155001707,"FLaSH 171 FMWT 2011-11-21 797 3045"
"FLaSH",176,"FMWT",2011-11-21,"797","3043",2011,11,"Middle",12.5,527,0.24,21,75.5,61,2.1707,"Y",0,0,0,0,0,0,0,0,23.52,3,93.1,3.45,61.38,0,0.53092196233137,"FLaSH 176 FMWT 2011-11-21 797 3043"
"FLaSH",177,"FMWT",2011-11-21,"797","3046",2011,11,"Middle",12.5,527,0.24,21,75.5,61,2.2084,"Y",0,0,0,0,0,0,1.81,0,6.72,0,53.2,4.6,20.46,0,1.06184392466274,"FLaSH 177 FMWT 2011-11-21 797 3046"
"FLaSH",179,"FMWT",2011-11-21,"797","3042",2011,11,"Middle",12.5,527,0.24,21,75.5,59,1.9727,"Y",0,0,0,0,0,15,3.62,0,10.08,2,167.58,2.3,225.06,0,3.00426696595571,"FLaSH 179 FMWT 2011-11-21 797 3042"
"FLaSH",183,"FMWT",2011-11-21,"797","3044",2011,11,"Middle",12.5,527,0.24,21,75.5,59,2.0651,"Y",0,0,0,0,0,0,0,0,6.72,1,23.94,0,3.41,0,6.72981605312488,"FLaSH 183 FMWT 2011-11-21 797 3044"
"FLaSH",185,"FMWT",2011-11-21,"797","3041",2011,11,"Middle",12.5,527,0.24,21,75.5,86,5.6441,"Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.130378513646,"FLaSH 185 FMWT 2011-11-21 797 3041"
"FLaSH",198,"FMWT",2011-11-21,"797","3040",2011,11,"Middle",12.5,527,0.24,21,75.5,87,6.686,"Y",0,0,0,0,0,0,0,0,0,0,0,0,3.41,0,13.7001845045936,"FLaSH 198 FMWT 2011-11-21 797 3040"
"FLaSH",200,"FMWT",2011-11-21,"797","3049",2011,11,"Middle",12.5,527,0.24,21,75.5,49,1.0661,"Y",0,0,0,0,0,0,1.81,0,6.72,0,119.7,5.75,27.28,0,0.713635583409469,"FLaSH 200 FMWT 2011-11-21 797 3049"
"FLaSH",211,"FMWT",2011-12-16,"719","2061",2011,12,"Lower",8.9,309,0.13,32,37.8,64,2.0162,"Y",0,0,0,0,0,3,3.31,1,0,0,53.2,3.45,6.82,0.513958860211619,0,"FLaSH 211 FMWT 2011-12-16 719 2061"
"FLaSH",212,"FMWT",2011-12-16,"719","2063",2011,12,"Lower",8.9,309,0.13,32,37.8,54,1.4678,"Y",0,0,0,0,0,3,3,0,0,0,45.22,0,13.64,0,0,"FLaSH 212 FMWT 2011-12-16 719 2063"
"FLaSH",215,"FMWT",2011-12-16,"719","2060",2011,12,"Lower",8.9,309,0.13,32,37.8,70,2.4303,"Y",0,0,0,0,0,12,0,0,0,0,15.96,0,0,0.198375697562378,4.14711149401543,"FLaSH 215 FMWT 2011-12-16 719 2060"
"FLaSH",217,"FMWT",2011-12-16,"719","2062",2011,12,"Lower",8.9,309,0.13,32,37.8,65,2.1797,"Y",0,0,0,0,0,0,1.81,0,1.6,0,29.26,0,0,0,0,"FLaSH 217 FMWT 2011-12-16 719 2062"
"FLaSH",218,"FMWT",2011-12-16,"719","2064",2011,12,"Lower",8.9,309,0.13,32,37.8,62,1.8818,"Y",0,0,0,0,0,6,0,0,11.68,0,127.68,1.15,10.23,0.835134557773997,0,"FLaSH 218 FMWT 2011-12-16 719 2064"
"FLaSH",220,"FMWT",2011-12-16,"719","2059",2011,12,"Lower",8.9,309,0.13,32,37.8,53,1.1521,"Y",0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,"FLaSH 220 FMWT 2011-12-16 719 2059"
"FLaSH",214,"FMWT",2011-12-16,"797","2076",2011,12,"Middle",9.1,517,0.23395642,17,72.7,68,2.4489,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FLaSH 214 FMWT 2011-12-16 797 2076"
"FLaSH",219,"FMWT",2011-12-16,"797","2075",2011,12,"Middle",9.1,517,0.23,17,72.7,67,2.5853,"Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63645299657159,"FLaSH 219 FMWT 2011-12-16 797 2075"
"FLaSH",387,"SKT",2012-01-19,"713","4100",2012,1,"Lower",8.2,225,0.1,63,11,68,2.0371,"Y",0,0,88,0,0,29,1.81,4.6,35.04,0,0,0,6.82,0,0,"FLaSH 387 SKT 2012-01-19 713 4100"
"FLaSH",388,"SKT",2012-01-19,"713","4098",2012,1,"Lower",8.2,225,0.1,63,11,68,2.2817,"Y",0,0,64,0,0,42,0,21,80.48,0,0,0,0,0.576374882468952,0,"FLaSH 388 SKT 2012-01-19 713 4098"
"FLaSH",389,"SKT",2012-01-19,"713","4101",2012,1,"Lower",8.2,225,0.1,63,11,65,1.981,"Y",0,0,132,0,0,21,5.4,26,83.36,0,0,0,13.64,0,0,"FLaSH 389 SKT 2012-01-19 713 4101"
"FLaSH",390,"SKT",2012-01-19,"715","4102",2012,1,"Lower",8.2,219,0.09,82,11,67,2.0271,"Y",0,0,120,0,0,6,0,8,68.32,0,5.32,0,0,0,0,"FLaSH 390 SKT 2012-01-19 715 4102"
"FLaSH",391,"SKT",2012-01-19,"715","4103",2012,1,"Lower",8.2,219,0.09,82,11,68,2.0204,"Y",0,0,200,0,0,92,3.6,64.6,0,0,0,0,3.41,3.82646910749484,0,"FLaSH 391 SKT 2012-01-19 715 4103"
"FLaSH",392,"SKT",2012-01-19,"715","4104",2012,1,"Lower",8.2,219,0.09,82,11,62,1.5554,"Y",0,0,320,0,0,58,1.8,11,133.12,1,7.98,0,13.64,2.26253897936544,0,"FLaSH 392 SKT 2012-01-19 715 4104"
"FLaSH",397,"SKT",2012-01-19,"719","4109",2012,1,"Lower",7.8,362,0.16,36,30,70,2.627,"Y",0,0,0,6,0,0,1.5,1,36.8,0,10.64,1.15,85.25,0,0,"FLaSH 397 SKT 2012-01-19 719 4109"
"FLaSH",398,"SKT",2012-01-19,"719","4116",2012,1,"Lower",7.8,362,0.16,36,30,66,2.1063,"Y",0,0,4,0,0,0,0,1,3.36,0,18.62,0,61.38,0.1228,0,"FLaSH 398 SKT 2012-01-19 719 4116"
"FLaSH",399,"SKT",2012-01-19,"719","4123",2012,1,"Lower",7.8,362,0.16,36,30,66,2.0307,"Y",0,0,4,0,0,0,7.24,0,14.88,0,58.52,0,57.97,0.4912,0,"FLaSH 399 SKT 2012-01-19 719 4123"
"FLaSH",400,"SKT",2012-01-19,"719","4143",2012,1,"Lower",7.8,362,0.16,36,30,65,1.8069,"Y",0,0,4,3,0,3,16.29,2.6,21.28,0,13.3,0,139.81,0.356167278886999,0,"FLaSH 400 SKT 2012-01-19 719 4143"
"FLaSH",401,"SKT",2012-01-19,"719","4160",2012,1,"Lower",7.8,362,0.16,36,30,72,2.5937,"Y",0,0,4,0,0,0,0,1,14.88,0,26.6,0,105.71,4.03548926373748,0,"FLaSH 401 SKT 2012-01-19 719 4160"
"FLaSH",402,"SKT",2012-01-19,"719","4168",2012,1,"Lower",7.8,362,0.16,36,30,57,1.4219,"Y",0,0,0,0,0,39,7.24,1,14.88,0,39.9,0,34.1,0,0,"FLaSH 402 SKT 2012-01-19 719 4168"
"FLaSH",403,"SKT",2012-01-19,"719","4190",2012,1,"Lower",7.8,362,0.16,36,30,57,1.3209,"Y",0,0,0,0,0,3,3.62,1,11.68,0,26.6,0,139.81,0.198375697562378,0,"FLaSH 403 SKT 2012-01-19 719 4190"
"FLaSH",404,"SKT",2012-01-19,"719","4203",2012,1,"Lower",7.8,362,0.16,36,30,61,1.6169,"Y",0,0,0,0,0,9,1.4,2,21.44,1,13.3,0,0,0,0,"FLaSH 404 SKT 2012-01-19 719 4203"
"FLaSH",405,"SKT",2012-01-19,"719","4205",2012,1,"Lower",7.8,362,0.16,36,30,65,1.7736,"Y",0,0,0,0,0,9,0,2,14.88,0,37.24,0,88.66,0,0,"FLaSH 405 SKT 2012-01-19 719 4205"
"FLaSH",406,"SKT",2012-01-19,"719","4210",2012,1,"Lower",7.8,362,0.16,36,30,64,1.7917,"Y",0,0,0,0,0,12,1.5,0,6.56,0,42.56,0,109.12,0,0,"FLaSH 406 SKT 2012-01-19 719 4210"
"FLaSH",589,"SKT",2012-01-19,"719","4226",2012,1,"Lower",7.8,362,0.16,36,30,57,1.2357,"Y",0,0,0,0,0,3,3.62,5,11.52,0,21.28,0,75.02,0.396751395124756,0,"FLaSH 589 SKT 2012-01-19 719 4226"
"FLaSH",590,"SKT",2012-01-19,"719","4124",2012,1,"Lower",7.8,362,0.16,36,30,69,3.0573,"Y",0,0,4,0,0,0,0,1,3.36,0,34.58,0,88.66,0.157791581324621,0,"FLaSH 590 SKT 2012-01-19 719 4124"
"FLaSH",591,"SKT",2012-01-19,"719","4188",2012,1,"Lower",7.8,362,0.16,36,30,58,1.2409,"Y",0,0,0,0,0,3,0,3,4.96,0,47.88,0,71.61,0.396751395124756,0,"FLaSH 591 SKT 2012-01-19 719 4188"
"FLaSH",592,"SKT",2012-01-19,"719","4186",2012,1,"Lower",7.8,362,0.16,36,30,57,1.5627,"Y",0,0,0,3,0,3,9.05,1,29.44,0,42.56,0,143.22,0.93297941986914,0,"FLaSH 592 SKT 2012-01-19 719 4186"
"FLaSH",593,"SKT",2012-01-19,"719","4167",2012,1,"Lower",7.8,362,0.16,36,30,57,1.4522,"Y",0,0,0,0,0,0,0,0,4.96,0,7.98,0,27.28,0,0,"FLaSH 593 SKT 2012-01-19 719 4167"
"FLaSH",699,"SKT",2012-01-19,"719","4121",2012,1,"Lower",7.8,362,0.16,36,30,67,2.2,"Y",0,0,0,0,0,48,0,3,16.64,0,18.62,0,47.74,0.157791581324621,0,"FLaSH 699 SKT 2012-01-19 719 4121"
"FLaSH",700,"SKT",2012-01-19,"719","4144",2012,1,"Lower",7.8,362,0.16,36,30,57,1.4428,"Y",0,0,0,0,0,24,7.24,5,15.04,1,42.56,0,136.4,0,0,"FLaSH 700 SKT 2012-01-19 719 4144"
"FLaSH",701,"SKT",2012-01-19,"719","4152",2012,1,"Lower",7.8,362,0.16,36,30,60,1.4119,"Y",0,0,0,3,0,39,0,2.6,26.24,0.28,31.92,0,68.2,0,0,"FLaSH 701 SKT 2012-01-19 719 4152"
"FLaSH",702,"SKT",2012-01-19,"719","4218",2012,1,"Lower",7.8,362,0.16,36,30,63,1.7099,"Y",0,0,0,0,0,9,3.62,2,8.32,0,31.92,0,37.51,0,0,"FLaSH 702 SKT 2012-01-19 719 4218"
"FLaSH",703,"SKT",2012-01-19,"719","4222",2012,1,"Lower",7.8,362,0.16,36,30,55,1.2391,"Y",0,0,0,6,0,9,0,1,6.56,0,37.24,0,44.33,0,0,"FLaSH 703 SKT 2012-01-19 719 4222"
"FLaSH",704,"SKT",2012-01-19,"719","4223",2012,1,"Lower",7.8,362,0.16,36,30,57,1.4418,"Y",0,0,0,0,0,9,0,1,3.36,0,23.94,0,71.61,0.1304,0,"FLaSH 704 SKT 2012-01-19 719 4223"
"FLaSH",476,"SKT",2012-02-15,"719","4461",2012,2,"Lower",10.6,386,0.17,36,31,62,2.0479,"Y",0,0,92,12,0,27,0,6,126.72,0,63.84,0,47.74,0,0,"FLaSH 476 SKT 2012-02-15 719 4461"
"FLaSH",477,"SKT",2012-02-15,"719","4464",2012,2,"Lower",10.6,386,0.17,36,31,68,2.1077,"Y",0,0,12,3,0,12,0,0,0,0,5.32,0,3.41,0,0,"FLaSH 477 SKT 2012-02-15 719 4464"
"FLaSH",478,"SKT",2012-02-15,"719","4472",2012,2,"Lower",10.6,386,0.17,36,31,65,1.6184,"Y",0,0,44,0,0,10,0,8,49.28,0,95.76,0,71.61,0.1228,0,"FLaSH 478 SKT 2012-02-15 719 4472"
"FLaSH",479,"SKT",2012-02-15,"719","4475",2012,2,"Lower",10.6,386,0.17,36,31,65,2.3678,"Y",0,0,80,9,0,7,0,12,78.56,0,69.16,0,23.87,0,0,"FLaSH 479 SKT 2012-02-15 719 4475"
"FLaSH",480,"SKT",2012-02-15,"719","4476",2012,2,"Lower",10.6,386,0.17,36,31,58,1.4522,"Y",0,0,76,0,0,3,1.81,1,72.48,0,50.54,0,109.12,0.0930745774467317,0,"FLaSH 480 SKT 2012-02-15 719 4476"
"FLaSH",481,"SKT",2012-02-15,"719","4481",2012,2,"Lower",10.6,386,0.17,36,31,64,2.3325,"Y",0,0,44,0,0,17,0,2,33.44,0.28,85.12,0,47.74,0,0,"FLaSH 481 SKT 2012-02-15 719 4481"
"FLaSH",482,"SKT",2012-02-15,"719","4489",2012,2,"Lower",10.6,386,0.17,36,31,53,1.3069,"Y",0,0,20,3,0,6,16.29,2,1.6,0,10.64,0,327.36,0.157791581324621,0,"FLaSH 482 SKT 2012-02-15 719 4489"
"FLaSH",483,"SKT",2012-02-15,"719","4495",2012,2,"Lower",10.6,386,0.17,36,31,64,1.7942,"Y",0,0,52,0,0,13,0,4,46.56,0,21.28,0,688.82,0,0,"FLaSH 483 SKT 2012-02-15 719 4495"
"FLaSH",484,"SKT",2012-02-15,"719","4511",2012,2,"Lower",10.6,386,0.17,36,31,70,2.8629,"Y",0,0,12,0,0,12,5.43,2,104.64,0,63.84,0,317.13,0.084,0,"FLaSH 484 SKT 2012-02-15 719 4511"
"FLaSH",485,"SKT",2012-02-15,"719","4512",2012,2,"Lower",10.6,386,0.17,36,31,72,2.7693,"Y",0,0,20,0,0,40,0,0,30.08,0,34.58,1.15,126.17,0,0,"FLaSH 485 SKT 2012-02-15 719 4512"
"FLaSH",600,"SKT",2012-02-15,"719","4492",2012,2,"Lower",10.6,386,0.17,36,31,69,2.0926,"Y",0,0,72,3,0,45,0,1,118.56,0,130.34,0,112.53,0,0,"FLaSH 600 SKT 2012-02-15 719 4492"
"FLaSH",601,"SKT",2012-02-15,"719","4485",2012,2,"Lower",10.6,386,0.17,36,31,58,1.5401,"Y",0,0,24,0,0,3,0,4,20,1,37.24,0,54.56,0,0,"FLaSH 601 SKT 2012-02-15 719 4485"
"FLaSH",602,"SKT",2012-02-15,"719","4490",2012,2,"Lower",10.6,386,0.17,36,31,58,1.8045,"Y",0,0,88,3,0,46,0,1.6,137.28,0,47.88,0,98.89,0.1228,0,"FLaSH 602 SKT 2012-02-15 719 4490"
"FLaSH",507,"SKT",2012-03-08,"713","4613",2012,3,"Lower",10.7,274,0.12,35,37,67,2.1534,"Y",0,0,8,0,0,8,0,0,26.88,0,5.32,0,3.41,11.0073008452553,0,"FLaSH 507 SKT 2012-03-08 713 4613"
"FLaSH",508,"SKT",2012-03-08,"713","4616",2012,3,"Lower",10.7,274,0.12,35,37,61,2.5876,"Y",0,0,12,0,0,4,0,7.6,127.36,0,2.66,0,0,10.5216370225693,0,"FLaSH 508 SKT 2012-03-08 713 4616"
"FLaSH",509,"SKT",2012-03-08,"713","4621",2012,3,"Lower",10.7,274,0.12,35,37,67,2.4666,"Y",0,0,8,0,0,20,0,6,99.52,0,2.66,0,3.41,0.707516536263946,0,"FLaSH 509 SKT 2012-03-08 713 4621"
"FLaSH",510,"SKT",2012-03-08,"713","4619",2012,3,"Lower",10.7,274,0.12,35,37,64,1.8466,"Y",0,0,12,0,0,18,0,2,79.84,0,2.66,0,3.41,9.66037798671925,0,"FLaSH 510 SKT 2012-03-08 713 4619"
"FLaSH",511,"SKT",2012-03-08,"713","4625",2012,3,"Lower",10.7,274,0.12,35,37,68,2.2155,"Y",0,0.07,0,3,0,4,1.8,6,99.84,1,0,0,6.82,0.244867907435587,0,"FLaSH 511 SKT 2012-03-08 713 4625"
"FLaSH",512,"SKT",2012-03-08,"713","4626",2012,3,"Lower",10.7,274,0.12,35,37,69,2.4134,"Y",0,0,8,0,0,11,0,3,69.92,0,10.64,0,47.74,1.34185296565446,0,"FLaSH 512 SKT 2012-03-08 713 4626"
"FLaSH",513,"SKT",2012-03-08,"713","4632",2012,3,"Lower",10.7,274,0.12,35,37,66,2.3058,"Y",0,0,16,0,0,11,0,1,66.56,0,2.66,0,10.23,0.489735814871175,0,"FLaSH 513 SKT 2012-03-08 713 4632"
"FLaSH",514,"SKT",2012-03-08,"713","4634",2012,3,"Lower",10.7,274,0.12,35,37,65,2.1541,"Y",0,0,8,0,0,4,0,2,26.72,0,0,0,3.41,0,0,"FLaSH 514 SKT 2012-03-08 713 4634"
"FLaSH",515,"SKT",2012-03-08,"713","4636",2012,3,"Lower",10.7,274,0.12,35,37,71,2.8943,"Y",0,0,0,0,0,10,0,5.6,24.8,0.56,10.64,0,6.82,8.57499962802478,0,"FLaSH 515 SKT 2012-03-08 713 4636"
"FLaSH",516,"SKT",2012-03-08,"713","4628",2012,3,"Lower",10.7,274,0.12,35,37,66,1.8901,"Y",0,0,0,0,0,3,1.5,4,89.28,0,7.98,0,20.46,0.489735814871175,0,"FLaSH 516 SKT 2012-03-08 713 4628"
"FLaSH",517,"SKT",2012-03-08,"715","4640",2012,3,"Lower",10.9,315,0.14,32,43,65,1.9781,"Y",0,0,0,0,0,22,0,0,33.12,0.28,5.32,0,10.23,0.0930745774467317,0,"FLaSH 517 SKT 2012-03-08 715 4640"
"FLaSH",518,"SKT",2012-03-08,"713","4635",2012,3,"Lower",10.7,274,0.12,35,37,69,2.8582,"Y",0,0,12,3,0,7,1.8,7,64.8,0,7.98,0,6.82,0.316334341344752,0,"FLaSH 518 SKT 2012-03-08 713 4635"
"FLaSH",519,"SKT",2012-03-08,"713","4633",2012,3,"Lower",10.7,274,0.12,35,37,65,NA,"Y",0,0,8,0,0,11,0,4,81.76,0,5.32,0,0,0.583211029077675,0,"FLaSH 519 SKT 2012-03-08 713 4633"
"FLaSH",520,"SKT",2012-03-08,"715","4641",2012,3,"Lower",10.9,315,0.14,32,43,64,2.1845,"Y",0,0,16,0,0,0,0,2,36.64,0,2.66,0,3.41,0.297574174333913,0,"FLaSH 520 SKT 2012-03-08 715 4641"
"FLaSH",521,"SKT",2012-03-08,"713","4627",2012,3,"Lower",10.7,274,0.12,35,37,69,2.178,"Y",0,0,36,0,0,160,0,11,75.68,0,10.64,0,23.87,0.614,0,"FLaSH 521 SKT 2012-03-08 713 4627"
"FLaSH",522,"SKT",2012-03-08,"715","4642",2012,3,"Lower",10.9,315,0.14,32,43,73,2.8954,"Y",0,0,32,0,0,41,0,8,88.48,0,10.64,0,17.05,0.186149154893463,0,"FLaSH 522 SKT 2012-03-08 715 4642"
"FLaSH",523,"SKT",2012-03-08,"715","4645",2012,3,"Lower",10.9,315,0.14,32,43,67,2.4663,"Y",0,0,4,0,0,0,0,1,14.88,0,5.32,0,6.82,12.7594716561036,0,"FLaSH 523 SKT 2012-03-08 715 4645"
"FLaSH",524,"SKT",2012-03-08,"715","4646",2012,3,"Lower",10.9,315,0.14,32,43,68,2.2434,"Y",0,0,4,0,0,34,0,6,0,0,2.66,0,47.74,0.29145027500911,0,"FLaSH 524 SKT 2012-03-08 715 4646"
"FLaSH",525,"SKT",2012-03-08,"715","4649",2012,3,"Lower",10.9,315,0.14,32,43,63,2.0413,"Y",0,0,4,3,0,10,0,7,56,0,2.66,0,17.05,0.2456,0,"FLaSH 525 SKT 2012-03-08 715 4649"
"FLaSH",526,"SKT",2012-03-08,"715","4651",2012,3,"Lower",10.9,315,0.14,32,43,65,1.941,"Y",0,0,0,0,0,0,0,1,8.32,0,0,0,3.41,3.11065312748887,0,"FLaSH 526 SKT 2012-03-08 715 4651"
"FLaSH",527,"SKT",2012-03-08,"715","4653",2012,3,"Lower",10.9,315,0.14,32,43,68,2.1167,"Y",0,0,28,0,0,16,0,6.6,85.12,0,15.96,0,47.74,0.465372887233658,0,"FLaSH 527 SKT 2012-03-08 715 4653"
"FLaSH",528,"SKT",2012-03-08,"715","4657",2012,3,"Lower",10.9,315,0.14,32,43,68,2.6595,"Y",0,0,44,0,0,39,0,5,91.52,0,5.32,0,20.46,0.186149154893463,0,"FLaSH 528 SKT 2012-03-08 715 4657"
"FLaSH",529,"SKT",2012-03-08,"715","4661",2012,3,"Lower",10.9,315,0.14,32,43,66,2.0696,"Y",0,0,8,0,0,0,0,4,18.24,0,0,0,3.41,0,0,"FLaSH 529 SKT 2012-03-08 715 4661"
"FLaSH",540,"SKT",2012-03-08,"719","4706",2012,3,"Lower",11.9,554,0.25,25,40,65,2.0806,"Y",0,0,0,0,0,0,14.48,0,1.6,0,7.98,0,630.85,0.495646359279824,0,"FLaSH 540 SKT 2012-03-08 719 4706"
"FLaSH",542,"SKT",2012-03-08,"719","4709",2012,3,"Lower",11.9,554,0.25,25,40,64,2.265,"Y",0,0,0,0,0,16,14.48,0,19.84,0,5.32,0,358.05,0,0,"FLaSH 542 SKT 2012-03-08 719 4709"
"FLaSH",543,"SKT",2012-03-08,"719","4710",2012,3,"Lower",11.9,554,0.25,25,40,73,2.4497,"Y",0,0,4,0,0,36,0,0,40.96,12,7.98,0,416.02,0,0,"FLaSH 543 SKT 2012-03-08 719 4710"
"FLaSH",544,"SKT",2012-03-08,"719","4716",2012,3,"Lower",11.9,554,0.25,25,40,56,1.5168,"Y",0,0,0,3,0,46,7.24,0,0,0,0,0,300.08,0,0,"FLaSH 544 SKT 2012-03-08 719 4716"
"FLaSH",545,"SKT",2012-03-08,"719","4717",2012,3,"Lower",11.9,554,0.25,25,40,62,1.7033,"Y",0,0,0,0,0,18,0,0,19.68,0,0,0,375.1,0,0,"FLaSH 545 SKT 2012-03-08 719 4717"
"FLaSH",546,"SKT",2012-03-08,"719","4718",2012,3,"Lower",11.9,554,0.25,25,40,70,2.2856,"Y",0,0,0,0,0,0,0,0,4.96,1,0,0,34.1,0,0,"FLaSH 546 SKT 2012-03-08 719 4718"
"FLaSH",547,"SKT",2012-03-08,"719","4721",2012,3,"Lower",11.9,554,0.25,25,40,64,1.8716,"Y",0,0,0,15,0,24,0,1.2,44.64,1,180.88,0,317.13,0,0,"FLaSH 547 SKT 2012-03-08 719 4721"
"FLaSH",548,"SKT",2012-03-08,"719","4722",2012,3,"Lower",11.9,554,0.25,25,40,62,1.7456,"Y",0,0,0,0,0,0,0,0,3.36,0,2.66,0,40.92,0,0,"FLaSH 548 SKT 2012-03-08 719 4722"
"FLaSH",549,"SKT",2012-03-08,"719","4725",2012,3,"Lower",11.9,554,0.25,25,40,63,1.8004,"Y",0,0,0,0,0,0,7.24,1,6.4,0,0,0,627.44,0,0,"FLaSH 549 SKT 2012-03-08 719 4725"
"FLaSH",550,"SKT",2012-03-08,"719","4734",2012,3,"Lower",11.9,554,0.25,25,40,64,1.1418,"Y",0,0,0,0,0,24,1.81,0,8.32,0,13.3,0,85.25,28.9184118673638,0,"FLaSH 550 SKT 2012-03-08 719 4734"
