"Year","Month","latitude","longitude","Database","LogNumber","Project","Date","Station","SerialNumber","SampleID","Species","Depth","SurfaceTemperature","SurfaceConductivity","SurfacePPT","Secchi","Turbidity","ForkLength","TotalBodyWeight","Acanthocyclops spp","Acartia spp","Acartia copepodid","Acartiella sinensis","Acartiella copepodid","Barnacle nauplii","Bosmina spp","Ceriodaphnia spp","Calanoid copepodid","Chironomid larvae","Clams","Copepod nauplii","Corophium type","Crab megalope","Crab zoea","Cumaceans","Cyclopoid copepodid","Daphnia spp","Diaphanosoma spp","Diaptomus spp","Diaptomus copepodid","Eurytemora spp","Eurytemora copepodid","Eurytemora nauplii","Fish eggs","Gammarus type","Harpacticoids","Hyperacanthomysis longirostris","Isopods","Limnoithona spp","Limnoithona copepodid","Longfin Smelt","Neomysis kadiakensis","Neomysis mercedis","Oithona davisae","Oithona copepodid","Osphranticum","Ostracods","Other calanoid","Other cladocera","Other cyclopoid","Other insect larvae","Other malacostraca","Other zooplankton","Pacific Herring","Palaemon","Prickly Sculpin","Pseudodiaptomus forbesi","Pseudodiaptomus marinus","Pseudodiaptomus spp","Pseudodiaptomus copepodid","Pseudodiaptomus nauplii","Sinocalanus spp","Sinocalanus copepodid","Sinocalanus nauplii","Synchaeta","Terrestrial invertebrates","Tortanus dextrilobatus","Tortanus spp","Tortanus copepodid","Tridentiger spp","Unid amphipod","Unid calanoid","Unid cladocera","Unid copepod","Unid cyclopoid","Unid fish","Unid mysids","Nippoleucon hinumensis","Region"
2018,7,38.42158445,-121.6075834,"DOP",103,"EDSM",2018-07-19,"18-51-LSSC04","70","DOP 103 EDSM 2018-07-19 18-51-LSSC04 70","delta smelt",10.1,23.5,539,0.244628640506488,31.0000002,48.29999924,48,0.8499,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,30,4,62,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Middle"
2018,7,38.42289066,-121.6071625,"DOP",104,"EDSM",2018-07-23,"18-52-LSSC02","71","DOP 104 EDSM 2018-07-23 18-52-LSSC02 71","delta smelt",11,24.10000038,713,0.3300433889219,38.9999986,34,48,0.8703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
2018,7,38.30247498,-121.6544037,"DOP",106,"EDSM",2018-07-24,"18-52-LSSC03","73","DOP 106 EDSM 2018-07-24 18-52-LSSC03 73","delta smelt",11.2,23.29999924,266,0.114879537755475,49.000001,28.29999924,50,1.0844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28,0,0,22,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lower"
2018,7,38.30247498,-121.6544037,"DOP",108,"EDSM",2018-07-24,"18-52-LSSC03","75","DOP 108 EDSM 2018-07-24 18-52-LSSC03 75","delta smelt",11.2,23.29999924,266,0.114879537755475,49.000001,28.29999924,44,0.7457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lower"
2018,7,38.30247498,-121.6544037,"DOP",107,"EDSM",2018-07-24,"18-52-LSSC03","74","DOP 107 EDSM 2018-07-24 18-52-LSSC03 74","delta smelt",11.2,23.29999924,266,0.114879537755475,49.000001,28.29999924,45,0.8169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18,0,0,5,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Lower"
2018,7,38.30247498,-121.6544037,"DOP",109,"EDSM",2018-07-24,"18-52-LSSC03","76","DOP 109 EDSM 2018-07-24 18-52-LSSC03 76","delta smelt",9.8,23.29999924,275.2999878,0.119183153616622,44.9999988,29.20000076,47,0.8332,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lower"
2018,7,38.41948509,-121.6084747,"DOP",105,"EDSM",2018-07-23,"18-52-LSSC05","72","DOP 105 EDSM 2018-07-23 18-52-LSSC05 72","delta smelt",10,24.10000038,708,0.327566248599554,36.0000014,33.09999847,48,0.7034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
2018,8,38.46915627,-121.5857697,"DOP",110,"EDSM",2018-08-01,"19-01-LSSC01","77","DOP 110 EDSM 2018-08-01 19-01-LSSC01 77","delta smelt",11.3,23.89999962,755,0.350899395443816,43.0000007,28.79999924,47,0.829,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,883,39,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,1,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
2018,8,38.46915627,-121.5857697,"DOP",111,"EDSM",2018-08-01,"19-01-LSSC01","78","DOP 111 EDSM 2018-08-01 19-01-LSSC01 78","delta smelt",11.3,23.89999962,755,0.350899395443816,43.0000007,28.79999924,52,0.9621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
2018,8,38.48760605,-121.5844536,"DOP",112,"EDSM",2018-08-01,"19-01-USSC03","79","DOP 112 EDSM 2018-08-01 19-01-USSC03 79","delta smelt",10.7,24.10000038,828,0.387343748463526,50,23.79999924,47,0.5771,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Top"
2018,8,38.48760605,-121.5844536,"DOP",113,"EDSM",2018-08-01,"19-01-USSC03","80","DOP 113 EDSM 2018-08-01 19-01-USSC03 80","delta smelt",14.9,24.10000038,836,0.391351970621225,51.9999981,20.60000038,50,0.7975,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Top"
2018,8,38.38444265,-121.6250788,"DOP",114,"EDSM",2018-08-08,"19-02-LSSC02","81","DOP 114 EDSM 2018-08-08 19-02-LSSC02 81","delta smelt",9.2,23.10000038,567,0.258256010001871,38.9999986,31.79999924,46,0.7599,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"Middle"
2018,8,38.38444265,-121.6250788,"DOP",115,"EDSM",2018-08-08,"19-02-LSSC02","82","DOP 115 EDSM 2018-08-08 19-02-LSSC02 82","delta smelt",9.2,23.10000038,567,0.258256010001871,38.9999986,31.79999924,45,0.6321,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
2018,8,38.37018585,-121.6310501,"DOP",118,"EDSM",2018-08-14,"19-03-LSSC01","85","DOP 118 EDSM 2018-08-14 19-03-LSSC01 85","delta smelt",9.9,22.70000076,329.8999939,0.144646718882185,64.9999976,19.10000038,48,0.6895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,82,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
2018,8,38.37018585,-121.6310501,"DOP",119,"EDSM",2018-08-14,"19-03-LSSC01","86","DOP 119 EDSM 2018-08-14 19-03-LSSC01 86","delta smelt",9.9,22.70000076,329.8999939,0.144646718882185,64.9999976,19.10000038,47,0.7448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
2018,8,38.37018585,-121.6310501,"DOP",116,"EDSM",2018-08-14,"19-03-LSSC01","83","DOP 116 EDSM 2018-08-14 19-03-LSSC01 83","delta smelt",9.9,22.70000076,329.8999939,0.144646718882185,64.9999976,19.10000038,48,0.7308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
2018,8,38.37018585,-121.6310501,"DOP",120,"EDSM",2018-08-14,"19-03-LSSC01","87","DOP 120 EDSM 2018-08-14 19-03-LSSC01 87","delta smelt",9.9,22.70000076,329.8999939,0.144646718882185,64.9999976,19.10000038,44,0.5256,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,30,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
2018,8,38.37018585,-121.6310501,"DOP",117,"EDSM",2018-08-14,"19-03-LSSC01","84","DOP 117 EDSM 2018-08-14 19-03-LSSC01 84","delta smelt",9.9,22.70000076,329.8999939,0.144646718882185,64.9999976,19.10000038,40,0.4666,0,0,0,0,0,0,0,0,22,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
2018,8,38.39949036,-121.6181297,"DOP",121,"EDSM",2018-08-20,"19-04-LSSC03","88","DOP 121 EDSM 2018-08-20 19-04-LSSC03 88","delta smelt",10.1,22.60000038,580,0.264599377763647,21.9999999,49.90000153,44,0.638,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
2018,8,38.34852982,-121.6415901,"DOP",123,"EDSM",2018-08-20,"19-04-LSSC05","90","DOP 123 EDSM 2018-08-20 19-04-LSSC05 90","delta smelt",10.4,22.70000076,394.7999878,0.175300775508275,37.9999995,31.79999924,47,0.6743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,28,33,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lower"
2018,8,38.34852982,-121.6415901,"DOP",122,"EDSM",2018-08-20,"19-04-LSSC05","89","DOP 122 EDSM 2018-08-20 19-04-LSSC05 89","delta smelt",10.4,22.39999962,406.7000122,0.180962057524038,40.0000006,34.29999924,43,0.516,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lower"
2018,8,38.3326149,-121.6471252,"DOP",124,"EDSM",2018-08-27,"19-05-LSSC05","91","DOP 124 EDSM 2018-08-27 19-05-LSSC05 91","delta smelt",4.2,21.39999962,325.1000061,0.14239546458408,31.0000002,30.60000038,50,0.8433,0,0,0,0,0,0,0,0,158,0,0,58,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,30,2,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,20,0,0,406,436,6,8,4,0,0,0,0,0,0,0,0,2,24,0,0,0,0,"Lower"
2018,8,38.3326149,-121.6471252,"DOP",127,"EDSM",2018-08-27,"19-05-LSSC05","94","DOP 127 EDSM 2018-08-27 19-05-LSSC05 94","delta smelt",5.5,21.5,321,0.140474363359007,40.0000006,29.39999962,47,0.7985,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,99,8,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,"Lower"
2018,8,38.3326149,-121.6471252,"DOP",128,"EDSM",2018-08-27,"19-05-LSSC05","95","DOP 128 EDSM 2018-08-27 19-05-LSSC05 95","delta smelt",5.5,21.5,321,0.140474363359007,40.0000006,29.39999962,44,0.5114,0,0,0,0,0,0,0,0,8,1,0,49,0,0,0,0,0,0,59,1,1,0,0,0,0,0,2,0,0,53,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,44,105,21,3,2,0,0,0,0,0,0,0,2,2,6,0,0,0,0,"Lower"
2018,8,38.3326149,-121.6471252,"DOP",125,"EDSM",2018-08-27,"19-05-LSSC05","92","DOP 125 EDSM 2018-08-27 19-05-LSSC05 92","delta smelt",5.5,21.5,321,0.140474363359007,40.0000006,29.39999962,48,0.9046,0,0,0,0,0,0,0,0,26,0,0,3,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,0,238,119,17,4,1,0,0,0,0,0,0,0,0,3,38,0,0,0,0,"Lower"
2018,8,38.3326149,-121.6471252,"DOP",126,"EDSM",2018-08-27,"19-05-LSSC05","93","DOP 126 EDSM 2018-08-27 19-05-LSSC05 93","delta smelt",5.5,21.5,321,0.140474363359007,40.0000006,29.39999962,50,0.9268,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,26,0,0,138,188,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,"Lower"
2018,8,38.3326149,-121.6471252,"DOP",130,"EDSM",2018-08-27,"19-05-LSSC05","97","DOP 130 EDSM 2018-08-27 19-05-LSSC05 97","delta smelt",5.5,21.5,321,0.140474363359007,40.0000006,29.39999962,48,0.7065,0,0,0,0,0,0,0,0,24,0,0,428,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,9,0,0,19,81,1,0,3,0,0,0,0,0,0,0,5,4,55,0,0,1,0,"Lower"
2018,8,38.3326149,-121.6471252,"DOP",129,"EDSM",2018-08-27,"19-05-LSSC05","96","DOP 129 EDSM 2018-08-27 19-05-LSSC05 96","delta smelt",5.5,21.5,321,0.140474363359007,40.0000006,29.39999962,47,0.7803,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,90,8,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,0,0,46,5,47,3,0,0,0,0,0,0,0,0,3,2,12,0,0,2,0,"Lower"
2018,9,38.35631943,-121.6380539,"DOP",132,"EDSM",2018-09-10,"19-07-LSSC02","99","DOP 132 EDSM 2018-09-10 19-07-LSSC02 99","delta smelt",10.2,21.39999962,395.7999878,0.175776054021591,36.0000014,29.60000038,52,0.9121,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,3,44,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lower"
2018,9,38.35631943,-121.6380539,"DOP",161,"EDSM",2018-09-10,"19-07-LSSC02","110","DOP 161 EDSM 2018-09-10 19-07-LSSC02 110","delta smelt",10.2,21.5,406.2000122,0.180723951156382,33.0000013,32.09999847,47,0.7544,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,10,31,14,2,1,0,0,0,0,0,0,0,2,0,9,0,0,1,0,"Lower"
2018,9,38.35631943,-121.6380539,"DOP",131,"EDSM",2018-09-10,"19-07-LSSC02","98","DOP 131 EDSM 2018-09-10 19-07-LSSC02 98","delta smelt",10.2,21.39999962,395.7999878,0.175776054021591,36.0000014,29.60000038,55,0.9377,0,0,0,0,0,0,0,0,19,0,0,49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,22,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,8,0,0,16,19,15,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,"Lower"
2018,9,38.35631943,-121.6380539,"DOP",163,"EDSM",2018-09-10,"19-07-LSSC02","112","DOP 163 EDSM 2018-09-10 19-07-LSSC02 112","delta smelt",10.2,21.5,406.2000122,0.180723951156382,33.0000013,32.09999847,52,0.8697,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,16,1,13,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,"Lower"
2018,9,38.35631943,-121.6380539,"DOP",151,"EDSM",2018-09-10,"19-07-LSSC02","100","DOP 151 EDSM 2018-09-10 19-07-LSSC02 100","delta smelt",10.2,21.39999962,395.7999878,0.175776054021591,36.0000014,29.60000038,50,0.8894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,0,0,0,0,0,0,3,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,21,15,12,4,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,"Lower"
2018,9,38.35631943,-121.6380539,"DOP",152,"EDSM",2018-09-10,"19-07-LSSC02","101","DOP 152 EDSM 2018-09-10 19-07-LSSC02 101","delta smelt",10.2,21.39999962,395.7999878,0.175776054021591,36.0000014,29.60000038,55,0.9118,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,13,31,22,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,"Lower"
2018,9,38.35631943,-121.6380539,"DOP",162,"EDSM",2018-09-10,"19-07-LSSC02","111","DOP 162 EDSM 2018-09-10 19-07-LSSC02 111","delta smelt",10.2,21.5,406.2000122,0.180723951156382,33.0000013,32.09999847,49,0.7668,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,4,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0,4,16,31,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lower"
2018,9,38.35631943,-121.6380539,"DOP",154,"EDSM",2018-09-10,"19-07-LSSC02","103","DOP 154 EDSM 2018-09-10 19-07-LSSC02 103","delta smelt",10.2,21.5,406.2000122,0.180723951156382,33.0000013,32.09999847,43,0.5419,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,54,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,41,0,0,43,33,13,1,2,0,0,0,0,0,0,0,0,0,5,0,0,1,0,"Lower"
