"","SampleID","ForkLength","TotalBodyWeight","Month","Year","Region","acartela","allcopnaup","daphnia","eurytem","limno","othcalad","othcaljuv","othclad","othcyc","other","pdiapfor","pdiapjuv","sino","amphipod","mysids"
"13","FLaSH 174 FMWT 2011-11-21 719 2983",NA,NA,11,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7823507091639
"14","FLaSH 175 FMWT 2011-11-21 719 2982",58,1.7473,11,2011,"Lower",0,0,0,0,0,0,0,0,3.36,0,7.98,1.15,13.64,0,0
"15","FLaSH 175 FMWT 2011-11-21 719 2982",NA,NA,11,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,1.57791581324621,371.744087998325
"16","FLaSH 178 FMWT 2011-11-21 719 2979",59,1.971,11,2011,"Lower",0,0,0,0,0,0,1.81,0,0,0,39.9,0,10.23,0,0
"17","FLaSH 178 FMWT 2011-11-21 719 2979",NA,NA,11,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,37349.8847355989
"18","FLaSH 180 FMWT 2011-11-21 719 2980",56,1.6811,11,2011,"Lower",0,0,0,0,0,0,7.24,0,6.56,0,220.78,0,37.51,0,0
"19","FLaSH 180 FMWT 2011-11-21 719 2980",NA,NA,11,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,3.15583162649241,4.91083975143881
"20","FLaSH 181 FMWT 2011-11-21 719 2977",62,2.1959,11,2011,"Lower",0,0,0,0,0,0,0,0,20.16,0,276.64,5.75,146.63,0,0
"21","FLaSH 181 FMWT 2011-11-21 719 2977",NA,NA,11,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,3.15583162649241,245.776143230982
"22","FLaSH 182 FMWT 2011-11-21 719 2981",55,1.6939,11,2011,"Lower",0,0,0,0,0,0,0,0,6.72,0,130.34,1.15,57.97,0,0
"23","FLaSH 182 FMWT 2011-11-21 719 2981",NA,NA,11,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0.576157173025929,0
"24","FLaSH 184 FMWT 2011-11-21 719 2975",57,1.658,11,2011,"Lower",0,0,0,0,0,0,9.05,0,11.68,0,202.16,4.6,17.05,0,0
"25","FLaSH 184 FMWT 2011-11-21 719 2975",NA,NA,11,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4363245262456
"26","FLaSH 199 FMWT 2011-11-21 719 2978",59,2.1329,11,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","FLaSH 199 FMWT 2011-11-21 719 2978",NA,NA,11,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,634.924888279906
"28","FLaSH 171 FMWT 2011-11-21 797 3045",66,2.5463,11,2011,"Middle",21.36,0,0,0,0,0,0,0,6.72,0,58.52,0,3.41,0,0
"29","FLaSH 171 FMWT 2011-11-21 797 3045",NA,NA,11,2011,"Middle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.63058719248
"30","FLaSH 176 FMWT 2011-11-21 797 3043",61,2.1707,11,2011,"Middle",0,0,0,0,0,0,0,0,23.52,3,93.1,3.45,61.38,0,0
"31","FLaSH 176 FMWT 2011-11-21 797 3043",NA,NA,11,2011,"Middle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7863890096254
"32","FLaSH 177 FMWT 2011-11-21 797 3046",61,2.2084,11,2011,"Middle",0,0,0,0,0,0,1.81,0,6.72,0,53.2,4.6,20.46,0,0
"33","FLaSH 177 FMWT 2011-11-21 797 3046",NA,NA,11,2011,"Middle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5727780192508
"34","FLaSH 179 FMWT 2011-11-21 797 3042",59,1.9727,11,2011,"Middle",0,0,0,0,0,15,3.62,0,10.08,2,167.58,2.3,225.06,0,0
"35","FLaSH 179 FMWT 2011-11-21 797 3042",NA,NA,11,2011,"Middle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.005260501222
"36","FLaSH 183 FMWT 2011-11-21 797 3044",59,2.0651,11,2011,"Middle",0,0,0,0,0,0,0,0,6.72,1,23.94,0,3.41,0,0
"37","FLaSH 183 FMWT 2011-11-21 797 3044",NA,NA,11,2011,"Middle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.817123136323
"38","FLaSH 185 FMWT 2011-11-21 797 3041",86,5.6441,11,2011,"Middle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","FLaSH 185 FMWT 2011-11-21 797 3041",NA,NA,11,2011,"Middle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1349.56035032079
"40","FLaSH 198 FMWT 2011-11-21 797 3040",87,6.686,11,2011,"Middle",0,0,0,0,0,0,0,0,0,0,0,0,3.41,0,0
"41","FLaSH 198 FMWT 2011-11-21 797 3040",NA,NA,11,2011,"Middle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,805.454878802057
"42","FLaSH 200 FMWT 2011-11-21 797 3049",49,1.0661,11,2011,"Middle",0,0,0,0,0,0,1.81,0,6.72,0,119.7,5.75,27.28,0,0
"43","FLaSH 200 FMWT 2011-11-21 797 3049",NA,NA,11,2011,"Middle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2654696577286
"44","FLaSH 211 FMWT 2011-12-16 719 2061",64,2.0162,12,2011,"Lower",0,0,0,0,0,3,3.31,1,0,0,53.2,3.45,6.82,0,0
"45","FLaSH 211 FMWT 2011-12-16 719 2061",NA,NA,12,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,5.13958860211619,0
"46","FLaSH 212 FMWT 2011-12-16 719 2063",54,1.4678,12,2011,"Lower",0,0,0,0,0,3,3,0,0,0,45.22,0,13.64,0,0
"47","FLaSH 215 FMWT 2011-12-16 719 2060",70,2.4303,12,2011,"Lower",0,0,0,0,0,12,0,0,0,0,15.96,0,0,0,0
"48","FLaSH 215 FMWT 2011-12-16 719 2060",NA,NA,12,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,1.98375697562378,239.209228644895
"49","FLaSH 217 FMWT 2011-12-16 719 2062",65,2.1797,12,2011,"Lower",0,0,0,0,0,0,1.81,0,1.6,0,29.26,0,0,0,0
"50","FLaSH 218 FMWT 2011-12-16 719 2064",62,1.8818,12,2011,"Lower",0,0,0,0,0,6,0,0,11.68,0,127.68,1.15,10.23,0,0
"51","FLaSH 218 FMWT 2011-12-16 719 2064",NA,NA,12,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,8.35134557773997,0
"52","FLaSH 220 FMWT 2011-12-16 719 2059",53,1.1521,12,2011,"Lower",0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0
"53","FLaSH 214 FMWT 2011-12-16 797 2076",68,2.4489,12,2011,"Middle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","FLaSH 219 FMWT 2011-12-16 797 2075",67,2.5853,12,2011,"Middle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","FLaSH 219 FMWT 2011-12-16 797 2075",NA,NA,12,2011,"Middle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.814965396853
"56","FLaSH 387 SKT 2012-01-19 713 4100",68,2.0371,1,2012,"Lower",0,0,88,0,0,29,1.81,4.6,35.04,0,0,0,6.82,0,0
"57","FLaSH 388 SKT 2012-01-19 713 4098",68,2.2817,1,2012,"Lower",0,0,64,0,0,42,0,21,80.48,0,0,0,0,0,0
"58","FLaSH 388 SKT 2012-01-19 713 4098",NA,NA,1,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,5.76374882468952,0
"59","FLaSH 389 SKT 2012-01-19 713 4101",65,1.981,1,2012,"Lower",0,0,132,0,0,21,5.4,26,83.36,0,0,0,13.64,0,0
"60","FLaSH 390 SKT 2012-01-19 715 4102",67,2.0271,1,2012,"Lower",0,0,120,0,0,6,0,8,68.32,0,5.32,0,0,0,0
"61","FLaSH 391 SKT 2012-01-19 715 4103",68,2.0204,1,2012,"Lower",0,0,200,0,0,92,3.6,64.6,0,0,0,0,3.41,0,0
"62","FLaSH 391 SKT 2012-01-19 715 4103",NA,NA,1,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,38.2646910749484,0
"63","FLaSH 392 SKT 2012-01-19 715 4104",62,1.5554,1,2012,"Lower",0,0,320,0,0,58,1.8,11,133.12,1,7.98,0,13.64,0,0
"64","FLaSH 392 SKT 2012-01-19 715 4104",NA,NA,1,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,22.6253897936544,0
"65","FLaSH 397 SKT 2012-01-19 719 4109",70,2.627,1,2012,"Lower",0,0,0,6,0,0,1.5,1,36.8,0,10.64,1.15,85.25,0,0
"66","FLaSH 398 SKT 2012-01-19 719 4116",66,2.1063,1,2012,"Lower",0,0,4,0,0,0,0,1,3.36,0,18.62,0,61.38,0,0
"67","FLaSH 398 SKT 2012-01-19 719 4116",NA,NA,1,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,1.228,0
"68","FLaSH 399 SKT 2012-01-19 719 4123",66,2.0307,1,2012,"Lower",0,0,4,0,0,0,7.24,0,14.88,0,58.52,0,57.97,0,0
"69","FLaSH 399 SKT 2012-01-19 719 4123",NA,NA,1,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,4.912,0
"70","FLaSH 400 SKT 2012-01-19 719 4143",65,1.8069,1,2012,"Lower",0,0,4,3,0,3,16.29,2.6,21.28,0,13.3,0,139.81,0,0
"71","FLaSH 400 SKT 2012-01-19 719 4143",NA,NA,1,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,3.56167278886999,0
"72","FLaSH 401 SKT 2012-01-19 719 4160",72,2.5937,1,2012,"Lower",0,0,4,0,0,0,0,1,14.88,0,26.6,0,105.71,0,0
"73","FLaSH 401 SKT 2012-01-19 719 4160",NA,NA,1,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,40.3548926373748,0
"74","FLaSH 402 SKT 2012-01-19 719 4168",57,1.4219,1,2012,"Lower",0,0,0,0,0,39,7.24,1,14.88,0,39.9,0,34.1,0,0
"75","FLaSH 403 SKT 2012-01-19 719 4190",57,1.3209,1,2012,"Lower",0,0,0,0,0,3,3.62,1,11.68,0,26.6,0,139.81,0,0
"76","FLaSH 403 SKT 2012-01-19 719 4190",NA,NA,1,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,1.98375697562378,0
"77","FLaSH 404 SKT 2012-01-19 719 4203",61,1.6169,1,2012,"Lower",0,0,0,0,0,9,1.4,2,21.44,1,13.3,0,0,0,0
"78","FLaSH 405 SKT 2012-01-19 719 4205",65,1.7736,1,2012,"Lower",0,0,0,0,0,9,0,2,14.88,0,37.24,0,88.66,0,0
"79","FLaSH 406 SKT 2012-01-19 719 4210",64,1.7917,1,2012,"Lower",0,0,0,0,0,12,1.5,0,6.56,0,42.56,0,109.12,0,0
"80","FLaSH 589 SKT 2012-01-19 719 4226",57,1.2357,1,2012,"Lower",0,0,0,0,0,3,3.62,5,11.52,0,21.28,0,75.02,0,0
"81","FLaSH 589 SKT 2012-01-19 719 4226",NA,NA,1,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,3.96751395124756,0
"82","FLaSH 590 SKT 2012-01-19 719 4124",69,3.0573,1,2012,"Lower",0,0,4,0,0,0,0,1,3.36,0,34.58,0,88.66,0,0
"83","FLaSH 590 SKT 2012-01-19 719 4124",NA,NA,1,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,1.57791581324621,0
"84","FLaSH 591 SKT 2012-01-19 719 4188",58,1.2409,1,2012,"Lower",0,0,0,0,0,3,0,3,4.96,0,47.88,0,71.61,0,0
"85","FLaSH 591 SKT 2012-01-19 719 4188",NA,NA,1,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,3.96751395124756,0
"86","FLaSH 592 SKT 2012-01-19 719 4186",57,1.5627,1,2012,"Lower",0,0,0,3,0,3,9.05,1,29.44,0,42.56,0,143.22,0,0
"87","FLaSH 592 SKT 2012-01-19 719 4186",NA,NA,1,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,9.3297941986914,0
"88","FLaSH 593 SKT 2012-01-19 719 4167",57,1.4522,1,2012,"Lower",0,0,0,0,0,0,0,0,4.96,0,7.98,0,27.28,0,0
"89","FLaSH 699 SKT 2012-01-19 719 4121",67,2.2,1,2012,"Lower",0,0,0,0,0,48,0,3,16.64,0,18.62,0,47.74,0,0
"90","FLaSH 699 SKT 2012-01-19 719 4121",NA,NA,1,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,1.57791581324621,0
"91","FLaSH 700 SKT 2012-01-19 719 4144",57,1.4428,1,2012,"Lower",0,0,0,0,0,24,7.24,5,15.04,1,42.56,0,136.4,0,0
"92","FLaSH 701 SKT 2012-01-19 719 4152",60,1.4119,1,2012,"Lower",0,0,0,3,0,39,0,2.6,26.24,0.28,31.92,0,68.2,0,0
"93","FLaSH 702 SKT 2012-01-19 719 4218",63,1.7099,1,2012,"Lower",0,0,0,0,0,9,3.62,2,8.32,0,31.92,0,37.51,0,0
"94","FLaSH 703 SKT 2012-01-19 719 4222",55,1.2391,1,2012,"Lower",0,0,0,6,0,9,0,1,6.56,0,37.24,0,44.33,0,0
"95","FLaSH 704 SKT 2012-01-19 719 4223",57,1.4418,1,2012,"Lower",0,0,0,0,0,9,0,1,3.36,0,23.94,0,71.61,0,0
"96","FLaSH 704 SKT 2012-01-19 719 4223",NA,NA,1,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,1.304,0
"97","FLaSH 476 SKT 2012-02-15 719 4461",62,2.0479,2,2012,"Lower",0,0,92,12,0,27,0,6,126.72,0,63.84,0,47.74,0,0
"98","FLaSH 477 SKT 2012-02-15 719 4464",68,2.1077,2,2012,"Lower",0,0,12,3,0,12,0,0,0,0,5.32,0,3.41,0,0
"99","FLaSH 478 SKT 2012-02-15 719 4472",65,1.6184,2,2012,"Lower",0,0,44,0,0,10,0,8,49.28,0,95.76,0,71.61,0,0
"100","FLaSH 478 SKT 2012-02-15 719 4472",NA,NA,2,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,1.228,0
"101","FLaSH 479 SKT 2012-02-15 719 4475",65,2.3678,2,2012,"Lower",0,0,80,9,0,7,0,12,78.56,0,69.16,0,23.87,0,0
"102","FLaSH 480 SKT 2012-02-15 719 4476",58,1.4522,2,2012,"Lower",0,0,76,0,0,3,1.81,1,72.48,0,50.54,0,109.12,0,0
"103","FLaSH 480 SKT 2012-02-15 719 4476",NA,NA,2,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0.930745774467317,0
"104","FLaSH 481 SKT 2012-02-15 719 4481",64,2.3325,2,2012,"Lower",0,0,44,0,0,17,0,2,33.44,0.28,85.12,0,47.74,0,0
"105","FLaSH 482 SKT 2012-02-15 719 4489",53,1.3069,2,2012,"Lower",0,0,20,3,0,6,16.29,2,1.6,0,10.64,0,327.36,0,0
"106","FLaSH 482 SKT 2012-02-15 719 4489",NA,NA,2,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,1.57791581324621,0
"107","FLaSH 483 SKT 2012-02-15 719 4495",64,1.7942,2,2012,"Lower",0,0,52,0,0,13,0,4,46.56,0,21.28,0,688.82,0,0
"108","FLaSH 484 SKT 2012-02-15 719 4511",70,2.8629,2,2012,"Lower",0,0,12,0,0,12,5.43,2,104.64,0,63.84,0,317.13,0,0
"109","FLaSH 484 SKT 2012-02-15 719 4511",NA,NA,2,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0
"110","FLaSH 485 SKT 2012-02-15 719 4512",72,2.7693,2,2012,"Lower",0,0,20,0,0,40,0,0,30.08,0,34.58,1.15,126.17,0,0
"111","FLaSH 600 SKT 2012-02-15 719 4492",69,2.0926,2,2012,"Lower",0,0,72,3,0,45,0,1,118.56,0,130.34,0,112.53,0,0
"112","FLaSH 601 SKT 2012-02-15 719 4485",58,1.5401,2,2012,"Lower",0,0,24,0,0,3,0,4,20,1,37.24,0,54.56,0,0
"113","FLaSH 602 SKT 2012-02-15 719 4490",58,1.8045,2,2012,"Lower",0,0,88,3,0,46,0,1.6,137.28,0,47.88,0,98.89,0,0
"114","FLaSH 602 SKT 2012-02-15 719 4490",NA,NA,2,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,1.228,0
"115","FLaSH 507 SKT 2012-03-08 713 4613",67,2.1534,3,2012,"Lower",0,0,8,0,0,8,0,0,26.88,0,5.32,0,3.41,0,0
"116","FLaSH 507 SKT 2012-03-08 713 4613",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,110.073008452553,0
"117","FLaSH 508 SKT 2012-03-08 713 4616",61,2.5876,3,2012,"Lower",0,0,12,0,0,4,0,7.6,127.36,0,2.66,0,0,0,0
"118","FLaSH 508 SKT 2012-03-08 713 4616",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,105.216370225693,0
"119","FLaSH 509 SKT 2012-03-08 713 4621",67,2.4666,3,2012,"Lower",0,0,8,0,0,20,0,6,99.52,0,2.66,0,3.41,0,0
"120","FLaSH 509 SKT 2012-03-08 713 4621",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,7.07516536263946,0
"121","FLaSH 510 SKT 2012-03-08 713 4619",64,1.8466,3,2012,"Lower",0,0,12,0,0,18,0,2,79.84,0,2.66,0,3.41,0,0
"122","FLaSH 510 SKT 2012-03-08 713 4619",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,96.6037798671925,0
"123","FLaSH 511 SKT 2012-03-08 713 4625",68,2.2155,3,2012,"Lower",0,0.07,0,3,0,4,1.8,6,99.84,1,0,0,6.82,0,0
"124","FLaSH 511 SKT 2012-03-08 713 4625",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,2.44867907435587,0
"125","FLaSH 512 SKT 2012-03-08 713 4626",69,2.4134,3,2012,"Lower",0,0,8,0,0,11,0,3,69.92,0,10.64,0,47.74,0,0
"126","FLaSH 512 SKT 2012-03-08 713 4626",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,13.4185296565446,0
"127","FLaSH 513 SKT 2012-03-08 713 4632",66,2.3058,3,2012,"Lower",0,0,16,0,0,11,0,1,66.56,0,2.66,0,10.23,0,0
"128","FLaSH 513 SKT 2012-03-08 713 4632",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,4.89735814871175,0
"129","FLaSH 514 SKT 2012-03-08 713 4634",65,2.1541,3,2012,"Lower",0,0,8,0,0,4,0,2,26.72,0,0,0,3.41,0,0
"130","FLaSH 515 SKT 2012-03-08 713 4636",71,2.8943,3,2012,"Lower",0,0,0,0,0,10,0,5.6,24.8,0.56,10.64,0,6.82,0,0
"131","FLaSH 515 SKT 2012-03-08 713 4636",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,85.7499962802477,0
"132","FLaSH 516 SKT 2012-03-08 713 4628",66,1.8901,3,2012,"Lower",0,0,0,0,0,3,1.5,4,89.28,0,7.98,0,20.46,0,0
"133","FLaSH 516 SKT 2012-03-08 713 4628",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,4.89735814871175,0
"134","FLaSH 517 SKT 2012-03-08 715 4640",65,1.9781,3,2012,"Lower",0,0,0,0,0,22,0,0,33.12,0.28,5.32,0,10.23,0,0
"135","FLaSH 517 SKT 2012-03-08 715 4640",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0.930745774467317,0
"136","FLaSH 518 SKT 2012-03-08 713 4635",69,2.8582,3,2012,"Lower",0,0,12,3,0,7,1.8,7,64.8,0,7.98,0,6.82,0,0
"137","FLaSH 518 SKT 2012-03-08 713 4635",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,3.16334341344752,0
"138","FLaSH 519 SKT 2012-03-08 713 4633",65,NA,3,2012,"Lower",0,0,8,0,0,11,0,4,81.76,0,5.32,0,0,0,0
"139","FLaSH 519 SKT 2012-03-08 713 4633",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,5.83211029077675,0
"140","FLaSH 520 SKT 2012-03-08 715 4641",64,2.1845,3,2012,"Lower",0,0,16,0,0,0,0,2,36.64,0,2.66,0,3.41,0,0
"141","FLaSH 520 SKT 2012-03-08 715 4641",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,2.97574174333913,0
"142","FLaSH 521 SKT 2012-03-08 713 4627",69,2.178,3,2012,"Lower",0,0,36,0,0,160,0,11,75.68,0,10.64,0,23.87,0,0
"143","FLaSH 521 SKT 2012-03-08 713 4627",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,0
"144","FLaSH 522 SKT 2012-03-08 715 4642",73,2.8954,3,2012,"Lower",0,0,32,0,0,41,0,8,88.48,0,10.64,0,17.05,0,0
"145","FLaSH 522 SKT 2012-03-08 715 4642",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,1.86149154893463,0
"146","FLaSH 523 SKT 2012-03-08 715 4645",67,2.4663,3,2012,"Lower",0,0,4,0,0,0,0,1,14.88,0,5.32,0,6.82,0,0
"147","FLaSH 523 SKT 2012-03-08 715 4645",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,127.594716561036,0
"148","FLaSH 524 SKT 2012-03-08 715 4646",68,2.2434,3,2012,"Lower",0,0,4,0,0,34,0,6,0,0,2.66,0,47.74,0,0
"149","FLaSH 524 SKT 2012-03-08 715 4646",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,2.9145027500911,0
"150","FLaSH 525 SKT 2012-03-08 715 4649",63,2.0413,3,2012,"Lower",0,0,4,3,0,10,0,7,56,0,2.66,0,17.05,0,0
"151","FLaSH 525 SKT 2012-03-08 715 4649",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,2.456,0
"152","FLaSH 526 SKT 2012-03-08 715 4651",65,1.941,3,2012,"Lower",0,0,0,0,0,0,0,1,8.32,0,0,0,3.41,0,0
"153","FLaSH 526 SKT 2012-03-08 715 4651",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,31.1065312748887,0
"154","FLaSH 527 SKT 2012-03-08 715 4653",68,2.1167,3,2012,"Lower",0,0,28,0,0,16,0,6.6,85.12,0,15.96,0,47.74,0,0
"155","FLaSH 527 SKT 2012-03-08 715 4653",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,4.65372887233658,0
"156","FLaSH 528 SKT 2012-03-08 715 4657",68,2.6595,3,2012,"Lower",0,0,44,0,0,39,0,5,91.52,0,5.32,0,20.46,0,0
"157","FLaSH 528 SKT 2012-03-08 715 4657",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,1.86149154893463,0
"158","FLaSH 529 SKT 2012-03-08 715 4661",66,2.0696,3,2012,"Lower",0,0,8,0,0,0,0,4,18.24,0,0,0,3.41,0,0
"159","FLaSH 540 SKT 2012-03-08 719 4706",65,2.0806,3,2012,"Lower",0,0,0,0,0,0,14.48,0,1.6,0,7.98,0,630.85,0,0
"160","FLaSH 540 SKT 2012-03-08 719 4706",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,4.95646359279824,0
"161","FLaSH 542 SKT 2012-03-08 719 4709",64,2.265,3,2012,"Lower",0,0,0,0,0,16,14.48,0,19.84,0,5.32,0,358.05,0,0
"162","FLaSH 543 SKT 2012-03-08 719 4710",73,2.4497,3,2012,"Lower",0,0,4,0,0,36,0,0,40.96,12,7.98,0,416.02,0,0
"163","FLaSH 544 SKT 2012-03-08 719 4716",56,1.5168,3,2012,"Lower",0,0,0,3,0,46,7.24,0,0,0,0,0,300.08,0,0
"164","FLaSH 545 SKT 2012-03-08 719 4717",62,1.7033,3,2012,"Lower",0,0,0,0,0,18,0,0,19.68,0,0,0,375.1,0,0
"165","FLaSH 546 SKT 2012-03-08 719 4718",70,2.2856,3,2012,"Lower",0,0,0,0,0,0,0,0,4.96,1,0,0,34.1,0,0
"166","FLaSH 547 SKT 2012-03-08 719 4721",64,1.8716,3,2012,"Lower",0,0,0,15,0,24,0,1.2,44.64,1,180.88,0,317.13,0,0
"167","FLaSH 548 SKT 2012-03-08 719 4722",62,1.7456,3,2012,"Lower",0,0,0,0,0,0,0,0,3.36,0,2.66,0,40.92,0,0
"168","FLaSH 549 SKT 2012-03-08 719 4725",63,1.8004,3,2012,"Lower",0,0,0,0,0,0,7.24,1,6.4,0,0,0,627.44,0,0
"169","FLaSH 550 SKT 2012-03-08 719 4734",64,1.1418,3,2012,"Lower",0,0,0,0,0,24,1.81,0,8.32,0,13.3,0,85.25,0,0
"170","FLaSH 550 SKT 2012-03-08 719 4734",NA,NA,3,2012,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,289.184118673638,0
"171","FLaSH 551 SKT 2012-03-08 719 4726",58,1.8858,3,2012,"Lower",0,0,0,0,0,0,1.4,1,13.12,0,0,0,276.21,0,0
"172","FLaSH 552 SKT 2012-03-08 719 4737",61,1.8224,3,2012,"Lower",0,0,0,0,0,237,23.53,0,21.6,0,0,0,613.8,0,0
