"","SampleID2","serial","Region","ForkLength","TotalBodyWeight","Month","Year","acartela","allcopnaup","daphnia","eurytem","limno","othcalad","othcaljuv","othclad","othcyc","other","pdiapfor","pdiapjuv","sino","amphipod","mysids","SampleID","Date","SurfaceTemperature","SurfaceConductivity","SurfacePPT","Secchi","Turbidity","latitude","longitude","DOY","daylength"
"22","DOP 118 EDSM 2018-08-14 19-03-LSSC01 ","85","Middle",48,0.6895,8,2018,0,0,0,0,0.36,0,9.05,4,0,0,106.4,94.3,0,0,0,"DOP 118 EDSM 2018-08-14 19-03-LSSC01 85",2018-08-14,22.70000076,329.8999939,0.144646718882185,64.9999976,19.10000038,38.37018585,-121.6310501,226,13.7399793226818
"23","DOP 119 EDSM 2018-08-14 19-03-LSSC01 ","86","Middle",47,0.7448,8,2018,0,0.2,0,0,0.39,0,0,0,0,0,18.62,35.65,0,0,0,"DOP 119 EDSM 2018-08-14 19-03-LSSC01 86",2018-08-14,22.70000076,329.8999939,0.144646718882185,64.9999976,19.10000038,38.37018585,-121.6310501,226,13.7399793226818
"24","DOP 120 EDSM 2018-08-14 19-03-LSSC01 ","87","Middle",44,0.5256,8,2018,0,0.4,0,0,1.43,0,3,1,10.08,0,39.9,34.5,3.41,0,95.3130905800503,"DOP 120 EDSM 2018-08-14 19-03-LSSC01 87",2018-08-14,22.70000076,329.8999939,0.144646718882185,64.9999976,19.10000038,38.37018585,-121.6310501,226,13.7399793226818
"25","DOP 121 EDSM 2018-08-20 19-04-LSSC03 ","88","Middle",44,0.638,8,2018,0,0.7,0,0,2.08,0,1.5,3,3.36,0,0,6.9,0,0,0,"DOP 121 EDSM 2018-08-20 19-04-LSSC03 88",2018-08-20,22.60000038,580,0.264599377763647,21.9999999,49.90000153,38.39949036,-121.6181297,232,13.523109554346
"26","DOP 122 EDSM 2018-08-20 19-04-LSSC05 ","89","Lower",43,0.516,8,2018,0,3,0,0,3.33,0,3,0,3.36,0,2.66,39.1,0,0,0,"DOP 122 EDSM 2018-08-20 19-04-LSSC05 89",2018-08-20,22.39999962,406.7000122,0.180962057524038,40.0000006,34.29999924,38.34852982,-121.6415901,232,13.520457564687
"27","DOP 123 EDSM 2018-08-20 19-04-LSSC05 ","90","Lower",47,0.6743,8,2018,0,3.3,0,0,2.37,0,1.81,3,4.96,0.28,2.66,32.2,17.05,0,0,"DOP 123 EDSM 2018-08-20 19-04-LSSC05 90",2018-08-20,22.70000076,394.7999878,0.175300775508275,37.9999995,31.79999924,38.34852982,-121.6415901,232,13.520457564687
"28","DOP 124 EDSM 2018-08-27 19-05-LSSC05 ","91","Lower",50,0.8433,8,2018,0,49.68,0,0,3.98,72,251.48,4,13.44,4.56,53.2,466.9,20.46,0,0,"DOP 124 EDSM 2018-08-27 19-05-LSSC05 91",2018-08-27,21.39999962,325.1000061,0.14239546458408,31.0000002,30.60000038,38.3326149,-121.6471252,239,13.2541649752967
"29","DOP 125 EDSM 2018-08-27 19-05-LSSC05 ","92","Lower",48,0.9046,8,2018,0,12.27,0,0,3.07,130,46.24,26,0,0,77.14,273.7,57.97,0,0,"DOP 125 EDSM 2018-08-27 19-05-LSSC05 92",2018-08-27,21.5,321,0.140474363359007,40.0000006,29.39999962,38.3326149,-121.6471252,239,13.2541649752967
"30","DOP 126 EDSM 2018-08-27 19-05-LSSC05 ","93","Lower",50,0.9268,8,2018,0,36,0,0,4.94,402,0,2,6.72,0.56,69.16,158.7,0,0,0,"DOP 126 EDSM 2018-08-27 19-05-LSSC05 93",2018-08-27,21.5,321,0.140474363359007,40.0000006,29.39999962,38.3326149,-121.6471252,239,13.2541649752967
"31","DOP 127 EDSM 2018-08-27 19-05-LSSC05 ","94","Lower",47,0.7985,8,2018,0,7.8,0,0,0.26,102,0,1,0,1,130.34,113.85,0,0,0,"DOP 127 EDSM 2018-08-27 19-05-LSSC05 94",2018-08-27,21.5,321,0.140474363359007,40.0000006,29.39999962,38.3326149,-121.6471252,239,13.2541649752967
"32","DOP 128 EDSM 2018-08-27 19-05-LSSC05 ","95","Lower",44,0.5114,8,2018,0,15.54,0,0,7.09,28,19.23,61,3.36,2,10.64,50.6,71.61,0,0,"DOP 128 EDSM 2018-08-27 19-05-LSSC05 95",2018-08-27,21.5,321,0.140474363359007,40.0000006,29.39999962,38.3326149,-121.6471252,239,13.2541649752967
"33","DOP 129 EDSM 2018-08-27 19-05-LSSC05 ","96","Lower",47,0.7803,8,2018,0,0.5,0,0,0.52,77,17.43,92,3.36,0,74.48,52.9,160.27,0,6.4006877200746,"DOP 129 EDSM 2018-08-27 19-05-LSSC05 96",2018-08-27,21.5,321,0.140474363359007,40.0000006,29.39999962,38.3326149,-121.6471252,239,13.2541649752967
"34","DOP 130 EDSM 2018-08-27 19-05-LSSC05 ","97","Lower",48,0.7065,8,2018,0,51.11,0,0,2.36,184,37.8,8,0,0.56,23.94,21.85,3.41,0,1.60426994121795,"DOP 130 EDSM 2018-08-27 19-05-LSSC05 97",2018-08-27,21.5,321,0.140474363359007,40.0000006,29.39999962,38.3326149,-121.6471252,239,13.2541649752967
"35","DOP 131 EDSM 2018-09-10 19-07-LSSC02 ","98","Lower",55,0.9377,9,2018,0,6.8,0,0,2.98,19,37.55,2,0,3,21.28,18.4,51.15,0,0,"DOP 131 EDSM 2018-09-10 19-07-LSSC02 98",2018-09-10,21.39999962,395.7999878,0.175776054021591,36.0000014,29.60000038,38.35631943,-121.6380539,253,12.6997000255084
"36","DOP 132 EDSM 2018-09-10 19-07-LSSC02 ","99","Lower",52,0.9121,9,2018,0,0.5,0,0,1.95,48,31.96,15,0,0,13.3,17.25,150.04,0,0,"DOP 132 EDSM 2018-09-10 19-07-LSSC02 99",2018-09-10,21.39999962,395.7999878,0.175776054021591,36.0000014,29.60000038,38.35631943,-121.6380539,253,12.6997000255084
"37","DOP 133 EDSM 2018-07-09 18-50-LSSC01 ","150","Middle",49,1.1338,7,2018,0,0,0,0,0.13,0,0,0,3.36,0,0,0,3.41,0,1.60426994121795,"DOP 133 EDSM 2018-07-09 18-50-LSSC01 150",2018-07-09,22.79999924,681,0.314211384184789,36.0000014,36.59999847,38.42452113,-121.6063894,190,14.7163891364861
"38","DOP 151 EDSM 2018-09-10 19-07-LSSC02 ","100","Lower",50,0.8894,9,2018,0,1.5,0,0,1.81,39,9.04,10,0,0,90.44,24.15,40.92,0,306.117505958179,"DOP 151 EDSM 2018-09-10 19-07-LSSC02 100",2018-09-10,21.39999962,395.7999878,0.175776054021591,36.0000014,29.60000038,38.35631943,-121.6380539,253,12.6997000255084
"39","DOP 152 EDSM 2018-09-10 19-07-LSSC02 ","101","Lower",55,0.9118,9,2018,0,3.3,0,0,2.34,18,0,1,0,0,37.24,14.95,75.02,0,1.60426994121795,"DOP 152 EDSM 2018-09-10 19-07-LSSC02 101",2018-09-10,21.39999962,395.7999878,0.175776054021591,36.0000014,29.60000038,38.35631943,-121.6380539,253,12.6997000255084
"40","DOP 153 EDSM 2018-09-10 19-07-LSSC02 ","102","Lower",55,1.2596,9,2018,0,0.1,0,0,0.65,58,1.81,7,30.24,0,159.6,46,64.79,0,1.03545924705602,"DOP 153 EDSM 2018-09-10 19-07-LSSC02 102",2018-09-10,21.39999962,395.7999878,0.175776054021591,36.0000014,29.60000038,38.35631943,-121.6380539,253,12.6997000255084
"41","DOP 154 EDSM 2018-09-10 19-07-LSSC02 ","103","Lower",43,0.5419,9,2018,0,3.54,0,0,7.14,23,1.81,5,10.08,0,109.06,49.45,44.33,0,2.07091849411204,"DOP 154 EDSM 2018-09-10 19-07-LSSC02 103",2018-09-10,21.5,406.2000122,0.180723951156382,33.0000013,32.09999847,38.35631943,-121.6380539,253,12.6997000255084
"42","DOP 155 EDSM 2018-09-10 19-07-LSSC02 ","104","Lower",54,0.8408,9,2018,0,1.6,0,0,1.82,77,7.24,9,3.36,0,101.08,47.15,68.2,0,11.8412747113002,"DOP 155 EDSM 2018-09-10 19-07-LSSC02 104",2018-09-10,21.5,406.2000122,0.180723951156382,33.0000013,32.09999847,38.35631943,-121.6380539,253,12.6997000255084
"43","DOP 156 EDSM 2018-09-10 19-07-LSSC02 ","105","Lower",47,0.667,9,2018,2.67,0.1,0,0,4.03,65,3.62,11,21.76,0,55.86,10.35,167.09,0,1.95448634559951,"DOP 156 EDSM 2018-09-10 19-07-LSSC02 105",2018-09-10,21.5,406.2000122,0.180723951156382,33.0000013,32.09999847,38.35631943,-121.6380539,253,12.6997000255084
"44","DOP 157 EDSM 2018-09-10 19-07-LSSC02 ","106","Lower",52,0.9433,9,2018,0,1.8,0,0,1.86,15,1.4,2,13.44,0,66.5,13.8,47.74,14.8332473311364,1.60426994121795,"DOP 157 EDSM 2018-09-10 19-07-LSSC02 106",2018-09-10,21.5,406.2000122,0.180723951156382,33.0000013,32.09999847,38.35631943,-121.6380539,253,12.6997000255084
"45","DOP 158 EDSM 2018-09-10 19-07-LSSC02 ","107","Lower",53,1.0268,9,2018,0,0.2,0,0,0.26,90,6.93,6,6.72,0,66.5,14.95,109.12,0,230.036487368046,"DOP 158 EDSM 2018-09-10 19-07-LSSC02 107",2018-09-10,21.5,406.2000122,0.180723951156382,33.0000013,32.09999847,38.35631943,-121.6380539,253,12.6997000255084
"46","DOP 159 EDSM 2018-09-10 19-07-LSSC02 ","108","Lower",47,0.7284,9,2018,0,0.8,0,0,3.38,101,7.24,10,0,0,66.5,25.3,153.45,0,20.6899314062375,"DOP 159 EDSM 2018-09-10 19-07-LSSC02 108",2018-09-10,21.5,406.2000122,0.180723951156382,33.0000013,32.09999847,38.35631943,-121.6380539,253,12.6997000255084
"47","DOP 160 EDSM 2018-09-10 19-07-LSSC02 ","109","Lower",50,0.8216,9,2018,0,2.84,0,0,3.03,42,7.24,2,0,0,21.28,18.4,132.99,0,0,"DOP 160 EDSM 2018-09-10 19-07-LSSC02 109",2018-09-10,21.5,406.2000122,0.180723951156382,33.0000013,32.09999847,38.35631943,-121.6380539,253,12.6997000255084
"48","DOP 161 EDSM 2018-09-10 19-07-LSSC02 ","110","Lower",47,0.7544,9,2018,0,4.17,0,0,1.82,33,8.12,3,3.36,0,58.52,11.5,47.74,0,1.60426994121795,"DOP 161 EDSM 2018-09-10 19-07-LSSC02 110",2018-09-10,21.5,406.2000122,0.180723951156382,33.0000013,32.09999847,38.35631943,-121.6380539,253,12.6997000255084
"49","DOP 162 EDSM 2018-09-10 19-07-LSSC02 ","111","Lower",49,0.7668,9,2018,0,1.94,0,0,1.04,16,1.81,5,6.72,1,42.56,4.6,105.71,0,8.6327348288643,"DOP 162 EDSM 2018-09-10 19-07-LSSC02 111",2018-09-10,21.5,406.2000122,0.180723951156382,33.0000013,32.09999847,38.35631943,-121.6380539,253,12.6997000255084
"50","DOP 163 EDSM 2018-09-10 19-07-LSSC02 ","112","Lower",52,0.8697,9,2018,0,0.2,0,0,0.13,65,0,6,0,0,53.2,18.4,44.33,0,0,"DOP 163 EDSM 2018-09-10 19-07-LSSC02 112",2018-09-10,21.5,406.2000122,0.180723951156382,33.0000013,32.09999847,38.35631943,-121.6380539,253,12.6997000255084
"51","DOP 164 EDSM 2018-09-11 19-07-LSSC06 ","118","Middle",47,0.6711,9,2018,0,0.2,0,0,2.6,28,16.28,2,13.44,0,29.26,13.8,51.15,0,0,"DOP 164 EDSM 2018-09-11 19-07-LSSC06 118",2018-09-11,21.29999924,351.3999939,0.15475840595499,55.0000012,23.29999924,38.374101,-121.6290512,254,12.6595571450644
"52","DOP 165 EDSM 2018-09-11 19-07-LSSC06 ","119","Middle",54,0.8734,9,2018,0,0.1,0,0,0.65,45,0,3,13.44,0,37.24,8.05,13.64,0,0,"DOP 165 EDSM 2018-09-11 19-07-LSSC06 119",2018-09-11,21.29999924,351.3999939,0.15475840595499,55.0000012,23.29999924,38.374101,-121.6290512,254,12.6595571450644
"53","DOP 166 EDSM 2018-09-11 19-07-LSSC06 ","120","Middle",51,0.8393,9,2018,0,0.3,0,0,0.13,6,0,2,6.72,0,21.28,12.65,30.69,0,1.03545924705602,"DOP 166 EDSM 2018-09-11 19-07-LSSC06 120",2018-09-11,21.29999924,351.3999939,0.15475840595499,55.0000012,23.29999924,38.374101,-121.6290512,254,12.6595571450644
"54","DOP 167 EDSM 2018-09-11 19-07-LSSC06 ","121","Middle",42,0.5624,9,2018,0,0,0,0,0.26,9,0,0,6.72,0,23.94,4.6,20.46,0,0,"DOP 167 EDSM 2018-09-11 19-07-LSSC06 121",2018-09-11,21.29999924,351.3999939,0.15475840595499,55.0000012,23.29999924,38.374101,-121.6290512,254,12.6595571450644
"55","DOP 168 EDSM 2018-09-20 19-08-LSSC03 ","122","Lower",48,0.6522,9,2018,0,0,0,0,0.13,9,0,0,0,0,13.3,5.75,0,0,0,"DOP 168 EDSM 2018-09-20 19-08-LSSC03 122",2018-09-20,20.20000076,417.5,0.186110155452,44.9999988,18.79999924,38.34667492,-121.6424599,263,12.2916800873694
"56","DOP 169 EDSM 2018-09-20 19-08-LSSC03 ","123","Lower",51,0.9186,9,2018,0,0,0,0,0.13,6,0,0,0,0,23.94,4.6,10.23,0,0,"DOP 169 EDSM 2018-09-20 19-08-LSSC03 123",2018-09-20,20.20000076,417.5,0.186110155452,44.9999988,18.79999924,38.34667492,-121.6424599,263,12.2916800873694
"57","DOP 170 EDSM 2018-09-26 19-09-LSSC05 ","124","Middle",50,1.042,9,2018,0,1.6,0,0,1.17,12,8.74,4,3.36,1,29.26,17.25,54.56,0,0,"DOP 170 EDSM 2018-09-26 19-09-LSSC05 124",2018-09-26,20.70000076,388.2999878,0.172213545170754,31.9999993,40.5,38.36618042,-121.6335182,269,12.0451582062061
"58","DOP 171 EDSM 2018-09-26 19-09-LSSC05 ","125","Middle",48,0.8987,9,2018,0,1.7,0,0,4.07,48,3,17,10.08,1,61.18,21.85,64.79,0,0,"DOP 171 EDSM 2018-09-26 19-09-LSSC05 125",2018-09-26,20.70000076,388.2999878,0.172213545170754,31.9999993,40.5,38.36618042,-121.6335182,269,12.0451582062061
"59","DOP 172 EDSM 2018-09-26 19-09-LSSC05 ","126","Middle",45,0.7555,9,2018,0,1.2,0,0,2.86,63,0,5,0,1,87.78,27.6,30.69,0,0,"DOP 172 EDSM 2018-09-26 19-09-LSSC05 126",2018-09-26,20.70000076,388.2999878,0.172213545170754,31.9999993,40.5,38.36618042,-121.6335182,269,12.0451582062061
"60","DOP 173 EDSM 2018-09-26 19-09-LSSC05 ","127","Middle",42,0.5645,9,2018,0,3.2,0,0,5.45,9,0,1,0,3,2.66,2.3,3.41,0,0,"DOP 173 EDSM 2018-09-26 19-09-LSSC05 127",2018-09-26,20.70000076,388.2999878,0.172213545170754,31.9999993,40.5,38.36618042,-121.6335182,269,12.0451582062061
"61","DOP 174 EDSM 2018-09-26 19-09-LSSC05 ","128","Middle",49,0.8916,9,2018,0,2.21,0,0,2.34,55,3.62,5,10.08,3,82.46,18.4,51.15,0,0,"DOP 174 EDSM 2018-09-26 19-09-LSSC05 128",2018-09-26,20.70000076,388.2999878,0.172213545170754,31.9999993,40.5,38.36618042,-121.6335182,269,12.0451582062061
"62","DOP 175 EDSM 2018-09-27 19-09-LSSC02 ","129","Middle",51,1.0312,9,2018,0,2.2,0,0,7.54,106,0,5,0,5,23.94,4.6,6.82,0,0,"DOP 175 EDSM 2018-09-27 19-09-LSSC02 129",2018-09-27,20.79999924,431.2999878,0.192701952912379,38.9999986,33.40000153,38.39395523,-121.6206055,270,12.0039331296762
"63","DOP 176 EDSM 2018-09-27 19-09-LSSC02 ","130","Middle",56,1.453,9,2018,0,1.5,0,0,0.69,4,0,5,0,2,15.96,49.45,27.28,0,0,"DOP 176 EDSM 2018-09-27 19-09-LSSC02 130",2018-09-27,20.79999924,431.2999878,0.192701952912379,38.9999986,33.40000153,38.39395523,-121.6206055,270,12.0039331296762
"64","DOP 177 EDSM 2018-09-27 19-09-LSSC02 ","131","Middle",48,0.9314,9,2018,0,2.2,0,0,3.77,60,0,3,0,1,31.92,16.1,10.23,0,0,"DOP 177 EDSM 2018-09-27 19-09-LSSC02 131",2018-09-27,20.79999924,431.2999878,0.192701952912379,38.9999986,33.40000153,38.39395523,-121.6206055,270,12.0039331296762
"65","DOP 178 EDSM 2018-09-27 19-09-LSSC02 ","132","Middle",44,0.6111,9,2018,0,0.1,0,0,2.73,60,0,10,10.08,0,39.9,46,47.74,0,1.29898327424363,"DOP 178 EDSM 2018-09-27 19-09-LSSC02 132",2018-09-27,20.79999924,431.2999878,0.192701952912379,38.9999986,33.40000153,38.39395523,-121.6206055,270,12.0039331296762
"66","DOP 179 EDSM 2018-09-27 19-09-LSSC02 ","133","Middle",44,0.5093,9,2018,0,1.3,0,0,6.49,66,0,3,0,0,21.28,20.7,17.05,0,0,"DOP 179 EDSM 2018-09-27 19-09-LSSC02 133",2018-09-27,20.79999924,431.2999878,0.192701952912379,38.9999986,33.40000153,38.39395523,-121.6206055,270,12.0039331296762
"67","DOP 180 EDSM 2018-09-27 19-09-LSSC02 ","134","Middle",51,0.8486,9,2018,0,0.3,0,0,0.13,0,0,0,0,0,0,8.05,6.82,0,0,"DOP 180 EDSM 2018-09-27 19-09-LSSC02 134",2018-09-27,20.79999924,431.2999878,0.192701952912379,38.9999986,33.40000153,38.39395523,-121.6206055,270,12.0039331296762
"68","DOP 181 EDSM 2018-09-27 19-09-LSSC02 ","135","Middle",49,0.9829,9,2018,0,0.7,0,0,2.12,4,12.66,24,0,1,71.82,57.5,75.02,0,0,"DOP 181 EDSM 2018-09-27 19-09-LSSC02 135",2018-09-27,20.79999924,431.2999878,0.192701952912379,38.9999986,33.40000153,38.39395523,-121.6206055,270,12.0039331296762
"69","DOP 182 EDSM 2018-10-04 19-10-LSSC01 ","136","Middle",0,0,10,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60426994121795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","DOP 183 EDSM 2018-10-04 19-10-LSSC01 ","137","Middle",49,0.8667,10,2018,0,0.5,0,0,1.04,90,1.5,1,0,0,7.98,44.85,0,0,12.0571965773732,"DOP 183 EDSM 2018-10-04 19-10-LSSC01 137",2018-10-04,20.60000038,509,0.230083506062279,37.9999995,21.89999962,38.39021492,-121.6225395,277,11.7161233793709
"71","DOP 184 EDSM 2018-10-04 19-10-LSSC01 ","138","Middle",52,0.9201,10,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34.7823507091639,"DOP 184 EDSM 2018-10-04 19-10-LSSC01 138",2018-10-04,20.60000038,509,0.230083506062279,37.9999995,21.89999962,38.39021492,-121.6225395,277,11.7161233793709
"72","DOP 185 EDSM 2018-10-04 19-10-LSSC01 ","139","Middle",52,1.1048,10,2018,0,0.4,0,0,0.82,3,1.81,0,0,0,0,17.25,0,0,0,"DOP 185 EDSM 2018-10-04 19-10-LSSC01 139",2018-10-04,20.60000038,509,0.230083506062279,37.9999995,21.89999962,38.39021492,-121.6225395,277,11.7161233793709
"73","DOP 186 EDSM 2018-10-09 19-11-LSSC06 ","140","Middle",53,0.8775,10,2018,0,0,0,0,0,0,0,0,3.36,0,2.66,0,0,0,12.0571965773732,"DOP 186 EDSM 2018-10-09 19-11-LSSC06 140",2018-10-09,19.39999962,560,0.254844602328242,18.9999998,65.19999695,38.42774709,-121.6046702,282,11.5109350352743
"74","DOP 187 EDSM 2018-10-09 19-11-LSSC03 ","141","Middle",55,1.0004,10,2018,0,0,0,0,0.39,0,1.81,0,10.08,4,29.26,0,10.23,24.1530764079342,1.95448634559951,"DOP 187 EDSM 2018-10-09 19-11-LSSC03 141",2018-10-09,19.39999962,531,0.240744196415651,18.9999998,78.19999695,38.40896988,-121.6134822,282,11.5113235942563
