Database,LogNumber,Project,GearType,Year,Month,SerialNumber,Date,Station,Species,Time,Depth,SurfaceTemperature,SurfaceConductivity,SurfacePPT,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,TotalNumberOfPrey,TotalPreyWeight,GutFullness,FullnessRank,DigestionRank
FLaSH,1934,GES,MWTCC,2014,8,49,8/21/2014,704,Delta Smelt,1/0/1900,9.144,23.4,2071,1.03,0.54,16.7,1.0031,N,52,,0,0,0,0,
FLaSH,1934,GES,MWTCC,2014,8,49,8/21/2014,704,Delta Smelt,1/0/1900,9.7536,23.4,3175,1.63,0.57,20,1.0031,N,52,,0,0,0,0,
FLaSH,1974,GES,FMWTCC,2014,8,177,8/21/2014,797,Delta Smelt,1/0/1900,9.144,23.3,541,0.25,0.45,28.2,0.7422,N,44,,0,0,0,0,
FLaSH,1991,GES,FMWTCC,2014,8,229,8/21/2014,797,Delta Smelt,1/0/1900,9.144,23.3,541,0.25,0.45,28.2,1.1469,N,52,,0,0,0,0,
FLaSH,2010,GES,FMWTCC,2014,9,266,9/25/2014,705,Delta Smelt,1/0/1900,9.144,20.8,2777,1.42,0.62,14,1.0804,N,54,,0,0,0,0,
FLaSH,2010,GES,FMWTCC,2014,9,266,9/25/2014,705,Delta Smelt,1/0/1900,8.2296,21,2639,1.34,0.48,23.3,1.0804,N,54,,0,0,0,0,
FLaSH,2010,GES,FMWTCC,2014,9,266,9/25/2014,705,Delta Smelt,1/0/1900,7.3152,21.5,1515,0.74,0.53,23.4,1.0804,N,54,,0,0,0,0,
FLaSH,2010,GES,MWTCC,2014,9,266,9/25/2014,705,Delta Smelt,1/0/1900,6.4008,20.9,3134,1.61,0.47,24.4,1.0804,N,54,,0,0,0,0,
FLaSH,2010,GES,MWTCC,2014,9,266,9/25/2014,705,Delta Smelt,1/0/1900,9.4488,21.3,1975,0.98,0.42,30.6,1.0804,N,54,,0,0,0,0,
FLaSH,2109,STN,TWNET,2017,8,7348,8/22/2017,602,Delta Smelt,1/0/1900,1.524,19.6,10907,6.17,16,166,1.5419,N,65,,0,0,0,0,
FLaSH,2129,FMWT,MWT,2017,10,7361,10/10/2017,701,Delta Smelt,1/0/1900,12.192,17.5,1529,0.747074511,37.00000048,29.9,0.4965,N,42,,0,0,0,0,
FLaSH,2129,FMWT,MWT,2017,10,7361,10/10/2017,701,Delta Smelt,1/0/1900,12.192,17.5,1529,0.75,37,29.9,0.4965,N,42,,0,0,0,0,
FLaSH,2250,SKT,KT,2016,12,,12/8/2016,706,Delta Smelt,1/0/1900,7.0104,9.5,244,0.1,56,22,1.71025,N,63.2,,0,0,0,0,
FLaSH,2252,SKT,KT,2016,12,,12/8/2016,706,Delta Smelt,1/0/1900,7.0104,9.5,244,0.1,56,22,1.67681,N,61.5,,0,0,0,0,
FLaSH,2255,SKT,KT,2016,12,,12/8/2016,706,Delta Smelt,1/0/1900,7.0104,9.5,244,0.1,56,22,1.34281,N,59.1,,0,0,0,0,
