FLaSHLogNumber,Project,Date,Station,Species,SerialNumber,PreyType,PreyConversion,MacroCategory,PreyLengthSpecies,PreyLength,Estimate,PreyWeight
489,SKT,3/6/2012 0:00,513,delta smelt,4589,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.5,,
489,SKT,3/6/2012 0:00,513,delta smelt,4589,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.9,,
492,SKT,3/6/2012 0:00,513,delta smelt,4592,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.3,S,
492,SKT,3/6/2012 0:00,513,delta smelt,4592,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.3,S,
493,SKT,3/6/2012 0:00,513,delta smelt,4593,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.5,,
493,SKT,3/6/2012 0:00,513,delta smelt,4593,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.8,,
493,SKT,3/6/2012 0:00,513,delta smelt,4593,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,,
493,SKT,3/6/2012 0:00,513,delta smelt,4593,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.1,,
493,SKT,3/6/2012 0:00,513,delta smelt,4593,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.5,,
493,SKT,3/6/2012 0:00,513,delta smelt,4593,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.5,,
493,SKT,3/6/2012 0:00,513,delta smelt,4593,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.9,ED,
503,SKT,3/8/2012 0:00,707,delta smelt,4606,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4,,
507,SKT,3/8/2012 0:00,713,delta smelt,4613,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.2,,
507,SKT,3/8/2012 0:00,713,delta smelt,4613,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.2,ED,
509,SKT,3/8/2012 0:00,713,delta smelt,4621,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.3,S,
510,SKT,3/8/2012 0:00,713,delta smelt,4619,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5,,
515,SKT,3/8/2012 0:00,713,delta smelt,4636,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.6,,
526,SKT,3/8/2012 0:00,715,delta smelt,4651,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.2,,
550,SKT,3/8/2012 0:00,719,delta smelt,4734,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.9,ED,
550,SKT,3/8/2012 0:00,719,delta smelt,4734,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.9,G,
555,SKT,3/6/2012 0:00,801,delta smelt,4584,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.4,,
555,SKT,3/6/2012 0:00,801,delta smelt,4584,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.6,,
555,SKT,3/6/2012 0:00,801,delta smelt,4584,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.7,,
555,SKT,3/6/2012 0:00,801,delta smelt,4584,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.2,,
555,SKT,3/6/2012 0:00,801,delta smelt,4584,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.5,,
555,SKT,3/6/2012 0:00,801,delta smelt,4584,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.6,,
555,SKT,3/6/2012 0:00,801,delta smelt,4584,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.7,,
555,SKT,3/6/2012 0:00,801,delta smelt,4584,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4,,
555,SKT,3/6/2012 0:00,801,delta smelt,4584,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.6,,
555,SKT,3/6/2012 0:00,801,delta smelt,4584,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.4,,
555,SKT,3/6/2012 0:00,801,delta smelt,4584,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.3,,
555,SKT,3/6/2012 0:00,801,delta smelt,4584,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.1,ED,
555,SKT,3/6/2012 0:00,801,delta smelt,4584,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.6,ED,
555,SKT,3/6/2012 0:00,801,delta smelt,4584,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.1,ED,
555,SKT,3/6/2012 0:00,801,delta smelt,4584,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.5,G,
558,SKT,3/6/2012 0:00,801,delta smelt,4586,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.2,G,
558,SKT,3/6/2012 0:00,801,delta smelt,4586,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.2,G,
558,SKT,3/6/2012 0:00,801,delta smelt,4586,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.3,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.5,,
560,SKT,3/6/2012 0:00,804,delta smelt,4583,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.5,,6.60E-04
560,SKT,3/6/2012 0:00,804,delta smelt,4583,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.5,,6.70E-04
560,SKT,3/6/2012 0:00,804,delta smelt,4583,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.5,,8.90E-04
560,SKT,3/6/2012 0:00,804,delta smelt,4583,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.5,,7.20E-04
560,SKT,3/6/2012 0:00,804,delta smelt,4583,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.5,,7.40E-04
560,SKT,3/6/2012 0:00,804,delta smelt,4583,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,,8.20E-04
560,SKT,3/6/2012 0:00,804,delta smelt,4583,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,,8.50E-04
560,SKT,3/6/2012 0:00,804,delta smelt,4583,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,,8.60E-04
560,SKT,3/6/2012 0:00,804,delta smelt,4583,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,,9.20E-04
560,SKT,3/6/2012 0:00,804,delta smelt,4583,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,,1.25E-03
560,SKT,3/6/2012 0:00,804,delta smelt,4583,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.2,,1.42E-03
560,SKT,3/6/2012 0:00,804,delta smelt,4583,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4,,1.53E-03
560,SKT,3/6/2012 0:00,804,delta smelt,4583,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4,,1.84E-03
561,SKT,3/6/2012 0:00,804,delta smelt,4581,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,,
562,FMWT,12/12/2011 0:00,706,delta smelt,3326,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.1,G,
571,FMWT,12/12/2011 0:00,706,delta smelt,3357,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.1,S,
578,FMWT,12/12/2011 0:00,706,delta smelt,3317,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.5,,
603,SKT,4/5/2012 0:00,405,delta smelt,4965,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.3,,6.90E-04
603,SKT,4/5/2012 0:00,405,delta smelt,4965,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.8,,3.30E-04
603,SKT,4/5/2012 0:00,405,delta smelt,4965,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.3,,
603,SKT,4/5/2012 0:00,405,delta smelt,4965,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2,,
603,SKT,4/5/2012 0:00,405,delta smelt,4965,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.6,G,
610,SKT,4/5/2012 0:00,504,delta smelt,4959,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.3,,2.19E-03
612,SKT,4/3/2012 0:00,513,delta smelt,4904,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.4,,1.35E-03
612,SKT,4/3/2012 0:00,513,delta smelt,4904,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.8,,8.60E-04
612,SKT,4/3/2012 0:00,513,delta smelt,4904,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4,,
612,SKT,4/3/2012 0:00,513,delta smelt,4904,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.7,,
613,SKT,4/3/2012 0:00,513,delta smelt,4900,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.3,,4.70E-04
613,SKT,4/3/2012 0:00,513,delta smelt,4900,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.4,,6.20E-04
613,SKT,4/3/2012 0:00,513,delta smelt,4900,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.4,,1.44E-03
614,SKT,4/3/2012 0:00,513,delta smelt,4899,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.3,,2.08E-03
614,SKT,4/3/2012 0:00,513,delta smelt,4899,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,,1.31E-03
614,SKT,4/3/2012 0:00,513,delta smelt,4899,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.5,,7.90E-04
615,SKT,4/3/2012 0:00,513,delta smelt,4905,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.8,,1.47E-03
615,SKT,4/3/2012 0:00,513,delta smelt,4905,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.5,,2.00E-03
615,SKT,4/3/2012 0:00,513,delta smelt,4905,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.5,,9.30E-04
615,SKT,4/3/2012 0:00,513,delta smelt,4905,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.6,,3.80E-04
615,SKT,4/3/2012 0:00,513,delta smelt,4905,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.1,,
615,SKT,4/3/2012 0:00,513,delta smelt,4905,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.2,ED,
615,SKT,4/3/2012 0:00,513,delta smelt,4905,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.2,ED,
620,SKT,4/3/2012 0:00,520,delta smelt,4911,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.1,,1.42E-03
620,SKT,4/3/2012 0:00,520,delta smelt,4911,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.4,,9.50E-04
620,SKT,4/3/2012 0:00,520,delta smelt,4911,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.4,,1.63E-03
621,SKT,4/3/2012 0:00,520,delta smelt,4912,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.3,,
623,SKT,4/5/2012 0:00,602,delta smelt,4968,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.2,ED,
624,SKT,4/5/2012 0:00,602,delta smelt,4972,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.9,ED,
625,SKT,4/5/2012 0:00,602,delta smelt,4967,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,,3.70E-04
625,SKT,4/5/2012 0:00,602,delta smelt,4967,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.6,,2.20E-04
626,SKT,4/5/2012 0:00,606,delta smelt,4984,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.5,,
627,SKT,4/5/2012 0:00,606,delta smelt,4986,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.2,,4.60E-04
627,SKT,4/5/2012 0:00,606,delta smelt,4986,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.1,,7.00E-05
651,SKT,4/4/2012 0:00,715,delta smelt,4924,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4,,1.77E-03
651,SKT,4/4/2012 0:00,715,delta smelt,4924,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.9,ED,
661,SKT,4/3/2012 0:00,513,delta smelt,4901,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,6.2,,
662,SKT,4/3/2012 0:00,513,delta smelt,4903,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.2,,
662,SKT,4/3/2012 0:00,513,delta smelt,4903,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.2,ED,
664,SKT,4/5/2012 0:00,602,delta smelt,4973,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.2,,
668,SKT,4/5/2012 0:00,602,delta smelt,4981,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5,,9.00E-04
672,SKT,4/5/2012 0:00,606,delta smelt,4997,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.1,G,
675,SKT,4/5/2012 0:00,609,delta smelt,5009,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.8,M,
675,SKT,4/5/2012 0:00,609,delta smelt,5009,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.8,M,
677,SKT,4/5/2012 0:00,609,delta smelt,5024,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.2,ED,
681,SKT,4/4/2012 0:00,715,delta smelt,4923,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.1,,
683,SKT,4/4/2012 0:00,715,delta smelt,4929,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.1,S,
707,SKT,1/20/2012 0:00,609,delta smelt,4294,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.5,,
711,SKT,2/14/2012 0:00,519,delta smelt,4381,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.7,,3.60E-04
698,SKT,1/18/2012 0:00,519,delta smelt,4060,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.2,ED,
1013,FMWT,10/15/2012 0:00,703,delta smelt,5704,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4,,
1013,FMWT,10/15/2012 0:00,703,delta smelt,5704,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.8,,
1016,FMWT,10/15/2012 0:00,704,delta smelt,5723,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.7,,
1038,FMWT,12/12/2012 0:00,716,delta smelt,6188,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.3,,
1038,FMWT,12/12/2012 0:00,716,delta smelt,6188,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.6,AL,
1046,SKT,1/9/2013 0:00,719,delta smelt,6213,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.4,,
1063,SKT,1/9/2013 0:00,719,delta smelt,6234,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.1,,
1065,SKT,1/9/2013 0:00,719,delta smelt,6236,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,AL,
1066,SKT,1/9/2013 0:00,719,delta smelt,6237,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.2,,
1078,SKT,1/9/2013 0:00,715,delta smelt,6257,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.5,,
1078,SKT,1/9/2013 0:00,715,delta smelt,6257,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.8,,
1078,SKT,1/9/2013 0:00,715,delta smelt,6257,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.4,,
1080,SKT,1/9/2013 0:00,715,delta smelt,6259,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2,,
1080,SKT,1/9/2013 0:00,715,delta smelt,6259,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.4,,
1101,SKT,2/7/2013 0:00,508,delta smelt,6196,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.9,,
1156,SKT,4/4/2013 0:00,716,delta smelt,6477,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.1,AL,
1168,SKT,2/7/2013 0:00,609,delta smelt,6378,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.9,,1.45E-03
1170,SKT,2/7/2013 0:00,609,delta smelt,6381,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.1,,5.80E-04
1191,SKT,5/2/2013 0:00,609,delta smelt,6456,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.9,,
1239,SKT,5/1/2012 0:00,513,delta smelt,5038,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.6,,2.90E-04
1240,SKT,5/1/2012 0:00,513,delta smelt,5042,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,,1.70E-04
1240,SKT,5/1/2012 0:00,513,delta smelt,5042,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.1,AL,
1355,STN,8/21/2013 0:00,801,delta smelt,310,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.9,AL,
1424,FMWT,12/9/2013 0:00,513,delta smelt,824,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.8,,6.00E-04
1430,STN,7/10/2013 0:00,519,delta smelt,154,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.2,,3.00E-04
1444,STN,6/27/2013 0:00,609,delta smelt,129,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.3,,2.20E-04
1453,FMWT,12/10/2013 0:00,704,delta smelt,841,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.8,M,
1464,SKT,1/15/2014 0:00,704,delta smelt,126,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.4,,1.51E-03
1467,SKT,1/15/2014 0:00,713,delta smelt,143,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5,,1.24E-03
1468,SKT,1/15/2014 0:00,713,delta smelt,144,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5,S,
1469,SKT,1/15/2014 0:00,715,delta smelt,145,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.8,,
1470,SKT,1/15/2014 0:00,715,delta smelt,146,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.2,,
1473,SKT,1/15/2014 0:00,715,delta smelt,149,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,,3.80E-04
1475,SKT,1/14/2014 0:00,804,delta smelt,101,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.5,AL,
1493,SKT,2/11/2014 0:00,801,delta smelt,354,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4,,9.50E-04
1496,SKT,2/11/2014 0:00,804,delta smelt,351,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.5,,6.10E-04
1501,SKT,3/12/2014 0:00,706,delta smelt,400,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.5,,
1507,SKT,3/12/2014 0:00,715,delta smelt,556,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.3,,
1516,SKT,1/14/2014 0:00,513,delta smelt,119,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.3,,5.50E-04
1520,SKT,1/14/2014 0:00,513,delta smelt,124,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,ED,
1522,SKT,1/14/2014 0:00,801,delta smelt,103,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.4,AL,
1522,SKT,1/14/2014 0:00,801,delta smelt,103,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.6,AL,
1523,SKT,1/14/2014 0:00,801,delta smelt,104,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.4,,2.30E-04
1525,SKT,1/14/2014 0:00,801,delta smelt,106,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,AL,
1525,SKT,1/14/2014 0:00,801,delta smelt,106,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.2,AL,
1527,SKT,1/14/2014 0:00,801,delta smelt,109,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,,
1529,SKT,1/14/2014 0:00,801,delta smelt,111,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.5,AL,
1529,SKT,1/14/2014 0:00,801,delta smelt,111,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.5,G,
1530,SKT,1/14/2014 0:00,801,delta smelt,112,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.7,,
1530,SKT,1/14/2014 0:00,801,delta smelt,112,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.3,,
1530,SKT,1/14/2014 0:00,801,delta smelt,112,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.1,S,
1533,SKT,1/15/2014 0:00,706,delta smelt,131,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.2,,1.34E-03
1566,SKT,2/13/2014 0:00,609,delta smelt,376,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.3,,9.50E-04
1569,SKT,2/13/2014 0:00,609,delta smelt,387,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.2,,
1571,SKT,2/13/2014 0:00,609,delta smelt,391,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.2,,
1604,SKT,4/8/2014 0:00,719,delta smelt,3,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.6,,
1607,SKT,4/8/2014 0:00,719,delta smelt,588,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.6,S,
1770,FMWT,9/11/2014 0:00,705,delta smelt,7003,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,,9.10E-04
1800,SKT,12/9/2014 0:00,711,delta smelt,7035,Corophium,Americorophium spinicorne,amphipod,A. Spinicorne,2.1,,
1800,SKT,12/9/2014 0:00,711,delta smelt,7035,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.6,,
1817,SKT,12/17/2014 0:00,715,delta smelt,7082,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.9,,
1823,SKT,1/13/2015 0:00,801,delta smelt,7088,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.8,,4.90E-04
1825,SKT,1/13/2015 0:00,508,delta smelt,7090,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.5,,9.50E-04
1825,SKT,1/13/2015 0:00,508,delta smelt,7090,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.1,,6.90E-04
1825,SKT,1/13/2015 0:00,508,delta smelt,7090,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.4,G,
1839,SKT,1/15/2015 0:00,606,delta smelt,7104,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.7,Y,
2074,STN,7/1/2015 0:00,719,delta smelt,7180,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.4,,
2138,SKT,1/11/2017 0:00,804,delta smelt,A8,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.1,AL,
2138,SKT,1/11/2017 0:00,804,delta smelt,A8,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.6,,
