Database,LogNumber,Project,GearType,Year,Month,Date,Station,SerialNumber,Species,Time,Depth,SurfaceTemperature,SurfaceConductivity,SurfacePPT,BottomTemperature,BottomConductivity,BottomPPT,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,TotalNumberOfPrey,TotalPreyWeight,GutFullness,FullnessRank,DigestionRank,Acanthocyclops spp,Acartia spp,Acartia copepodid,Acartiella sinensis,Acartiella copepodid,Barnacle nauplii,Bosmina spp,Ceriodaphnia spp,Calanoid copepodid,Chironomid larvae,Clams,Copepod nauplii,Corophium type,Crab megalope,Crab zoea,Cumaceans,Cyclopoid copepodid,Daphnia spp,Diaphanosoma spp,Diaptomus spp,Diaptomus copepodid,Eurytemora spp,Eurytemora copepodid,Eurytemora nauplii,Fish eggs,Gammarus type,Harpacticoids,Hyperacanthomysis longirostris,Isopods,Limnoithona spp,Limnoithona copepodid,Longfin Smelt,Neomysis kadiakensis,Neomysis mercedis,Oithona davisae,Oithona copepodid,Osphranticum,Ostracods,Other calanoid,Other cladocera,Other cyclopoid,Other insect larvae,Other malacostraca,Other zooplankton,Pacific Herring,Palaemon,Prickly Sculpin,Pseudodiaptomus forbesi,Pseudodiaptomus marinus,Pseudodiaptomus spp,Pseudodiaptomus copepodid,Pseudodiaptomus nauplii,Sinocalanus spp,Sinocalanus copepodid,Sinocalanus nauplii,Synchaeta,Terrestrial invertebrates,Tortanus dextrilobatus,Tortanus spp,Tortanus copepodid,Tridentiger spp,Unid amphipod,Unid calanoid,Unid cladocera,Unid copepod,Unid cyclopoid,Unid fish,Unid mysids,Worm pieces
FLaSH,14,STN,TWNET,2011,8,8/25/2011,418,1085,Delta Smelt,10:58,8.2,20.8,13250,7.61,20.4,14210,8.21,46,19.9,1.3702,Y,55,0.0005,2,0.0003363,0.024543862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLaSH,15,STN,TWNET,2011,8,8/24/2011,501,1004,Delta Smelt,9:34,10.4,20.6,6800,3.71,20.3,7600,4.18,51,18.2,0.8029,Y,47,0.0028,43,0.002403916,0.299404199,,,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
FLaSH,16,STN,TWNET,2011,8,8/23/2011,716,1382,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.5117,Y,41,0.0015,64,0.0019311,0.377389095,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,14,6,2,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
FLaSH,17,STN,TWNET,2011,8,8/23/2011,716,1398,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.35,Y,37,0.0006,1,0.0000137,0.003914286,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLaSH,18,STN,TWNET,2011,8,8/23/2011,716,1384,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.9668,Y,50,0.0045,32,0.0007649,0.079116674,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
FLaSH,19,STN,TWNET,2011,8,8/25/2011,602,1071,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.4308,Y,40,0.003,15,0.001248733,0.289863758,,,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FLaSH,20,STN,TWNET,2011,8,8/25/2011,602,1075,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.427,Y,41,0.0049,202,0.001812852,0.42455562,,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,163,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0
FLaSH,21,STN,TWNET,2011,8,8/25/2011,602,1078,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.5131,Y,44,0.0015,10,0.0012046,0.234769051,,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
FLaSH,22,STN,TWNET,2011,8,8/25/2011,602,1079,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.3998,Y,39,0.0016,51,0.001102073,0.275655969,,,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLaSH,23,STN,TWNET,2011,8,8/25/2011,602,1073,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.5632,Y,44,0.0032,25,0.002013749,0.357554914,,,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
FLaSH,24,STN,TWNET,2011,8,8/25/2011,602,1077,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.7269,Y,49,0.0026,35,0.003453421,0.475088834,,,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
FLaSH,25,STN,TWNET,2011,8,8/25/2011,602,1067,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.2883,Y,35,0.0024,22,0.0011466,0.397710718,,,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FLaSH,26,STN,TWNET,2011,8,8/25/2011,602,1068,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.3477,Y,37,,77,0.0009862,0.283635318,,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLaSH,27,STN,TWNET,2011,8,8/24/2011,501,1003,Delta Smelt,9:34,10.4,20.6,6800,3.71,20.3,7600,4.18,51,18.2,0.4491,Y,52,0.0028,17,0.0009571,0.213115119,,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLaSH,28,STN,TWNET,2011,8,8/23/2011,716,1366,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,1.0253,Y,53,0.0056,199,0.006215877,0.60624956,,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,75,5,0,0,0,0,0,0,0,0,0,1,51,0,0,0,0,0,0
FLaSH,29,STN,TWNET,2011,8,8/23/2011,716,1381,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.5297,Y,43,0.0032,87,0.0024945,0.47092694,,,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21,0,0,30,10,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
FLaSH,30,STN,TWNET,2011,8,8/23/2011,716,1391,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.4561,Y,39,0.0021,71,0.0018648,0.408857707,,,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,0,0,29,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
FLaSH,31,FMWT,MWT,2011,9,9/8/2011,413,1109,Delta Smelt,12:14,8.5,20,7380,4.05,,8200,4.53,38,77,0.9466,Y,49,0.0086,104,0.006269529,0.662320835,,,0,0,0,33,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLaSH,32,FMWT,MWT,2011,9,9/8/2011,502,1117,Delta Smelt,13:10,14.3,20.1,6550,3.56,,6640,3.61,32,50.5,1.5465,Y,57,,272,0.015937147,1.030530052,,,0,0,0,66,0,0,0,0,1,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0
FLaSH,33,FMWT,MWT,2011,9,9/8/2011,502,1118,Delta Smelt,13:10,14.3,20.1,6550,3.56,,6640,3.61,32,50.5,0.6607,Y,45,,119,0.006739736,1.020090204,,,0,0,0,47,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
FLaSH,34,FMWT,MWT,2011,9,9/8/2011,413,1108,Delta Smelt,12:14,8.5,20,7380,4.05,,8200,4.53,38,77,1.1163,Y,53,,145,0.0094184,0.843715803,,,0,0,0,26,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
FLaSH,35,FMWT,MWT,2011,9,9/8/2011,413,1110,Delta Smelt,12:14,8.5,20,7380,4.05,,8200,4.53,38,77,1.1626,Y,52,0.0166,288,0.017056157,1.467070101,,,0,0,0,35,0,0,0,0,3,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
FLaSH,36,STN,TWNET,2011,8,8/23/2011,716,1379,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.3541,Y,37,0.0012,10,0.0001956,0.055238633,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLaSH,37,STN,TWNET,2011,8,8/23/2011,716,1377,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.5997,Y,43,,12,0.0004343,0.072419543,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLaSH,38,STN,TWNET,2011,8,8/23/2011,716,1393,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.5529,Y,43,0.0029,80,0.0018628,0.336914451,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,31,15,4,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
FLaSH,39,FMWT,MWT,2011,9,9/8/2011,504,1123,Delta Smelt,15:06,16.2,20.6,5120,2.73,,7370,4.04,39,61.7,0.3659,Y,39,0.0055,430,0.006654712,1.81872416,,,0,0,0,14,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,318,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLaSH,40,STN,TWNET,2011,8,8/23/2011,716,1372,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.4458,Y,40,0.0033,40,0.0007413,0.16628533,,,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
FLaSH,41,STN,TWNET,2011,8,8/23/2011,716,1386,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.6285,Y,44,0.0028,19,0.0003035,0.048289578,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FLaSH,42,STN,TWNET,2011,8,8/23/2011,716,1375,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.7392,Y,49,0.0043,88,0.0020626,0.279031385,,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,49,2,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
FLaSH,43,STN,TWNET,2011,8,8/23/2011,716,1369,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.9535,Y,50,0.0076,129,0.0039432,0.413550079,,,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,39,0,0,37,9,2,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
FLaSH,44,STN,TWNET,2011,8,8/23/2011,797,1487,Delta Smelt,14:48,10.7,25.5,629,0.29,22.7,628,0.29,27,35.9,0.9798,Y,52,0.0025,429,0.002596,0.264952031,,,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,16,336,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
FLaSH,45,STN,TWNET,2011,8,8/23/2011,716,1370,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,1.1347,Y,55,0.0059,129,0.0040402,0.35605887,,,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,40,3,4,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
FLaSH,46,STN,TWNET,2011,8,8/23/2011,716,1392,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.425,Y,38,0.0013,58,0.0017196,0.404611765,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,14,6,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0
FLaSH,47,STN,TWNET,2011,8,8/23/2011,716,1373,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.5342,Y,43,0.0027,59,0.0016209,0.303425683,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,20,4,1,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0
FLaSH,48,STN,TWNET,2011,8,8/23/2011,797,1484,Delta Smelt,14:48,10.7,25.5,629,0.29,22.7,628,0.29,27,35.9,0.3698,Y,38,0.0009,115,0.0014217,0.384451055,,,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,2,60,0,0,2,0,0,0,0,0,0,0,7,2,3,0,0,0,0
FLaSH,49,STN,TWNET,2011,8,8/23/2011,716,1376,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,1.1676,Y,56,0.0031,43,0.0011157,0.095554985,,,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,1,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0
FLaSH,50,STN,TWNET,2011,8,8/23/2011,716,1400,Delta Smelt,8:08,10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.2622,Y,34,0.0009,22,0.0002948,0.112433257,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
