"","Month","IBMR2","totcatch","totmass","Biomass_C","Year","IBMR","bpue","cpue"
"42",4,"othcalad",46744.1250131588,186952.797160233,3.99949292253528,NA,NA,NA,NA
"43",4,"othcaladjuv",792896.199518904,1189344.29927836,1.5,NA,NA,NA,NA
"44",4,"othclad",476460.184569798,317452.898853871,0.666273718423091,NA,NA,NA,NA
"45",4,"othcyc",31434.2440091584,105619.059870772,3.36,NA,NA,NA,NA
"46",4,"other",11715.8322665584,3019.09622444563,0.257693705044184,NA,NA,NA,NA
"47",4,"pdiapfor",48322.6160898126,128538.158798902,2.66,NA,NA,NA,NA
"48",4,"pdiapjuv",30094.345853549,34608.4977315813,1.15,NA,NA,NA,NA
"49",4,"sino",795200.925401643,2711635.1556196,3.41,NA,NA,NA,NA
"50",5,"allcopnaup",97615.226168245,9761.5226168245,0.1,NA,NA,NA,NA
"51",5,"daphnia",1245697.7380008,4982790.95200319,4,NA,NA,NA,NA
"52",5,"eurytem",7604.73394092541,22814.2018227762,3,NA,NA,NA,NA
"53",5,"limno",110226.186571533,14329.4042542993,0.13,NA,NA,NA,NA
"54",5,"othcalad",36747.7569313844,146942.976162218,3.99869239465664,NA,NA,NA,NA
"55",5,"othcaladjuv",406223.461393743,609335.192090614,1.5,NA,NA,NA,NA
"56",5,"othclad",498299.890750478,337576.622852564,0.67745674666745,NA,NA,NA,NA
"57",5,"othcyc",13175.6604419765,44270.2190850411,3.36,NA,NA,NA,NA
"58",5,"other",12765.694440143,3022.08053398115,0.23673451907778,NA,NA,NA,NA
"59",5,"pdiapfor",106134.233078638,282317.059989178,2.66,NA,NA,NA,NA
"60",5,"pdiapjuv",89562.173897265,102996.499981855,1.15,NA,NA,NA,NA
"61",5,"sino",603316.932383221,2057310.73942679,3.41,NA,NA,NA,NA
"62",6,"acartela",1606.036187025,4288.11661935675,2.67,NA,NA,NA,NA
"63",6,"allcopnaup",332781.291979441,33278.1291979441,0.1,NA,NA,NA,NA
"64",6,"daphnia",2492406.69825929,9969626.79303716,4,NA,NA,NA,NA
"65",6,"eurytem",1574.133283637,4722.399850911,3,NA,NA,NA,NA
"66",6,"limno",51349.262487314,6675.40412335082,0.13,NA,NA,NA,NA
"67",6,"othcalad",108360.164066772,431370.910710373,3.98089938701605,NA,NA,NA,NA
"68",6,"othcaladjuv",895808.510421579,1343712.76563237,1.5,NA,NA,NA,NA
"69",6,"othclad",1550778.47700648,1192772.91889167,0.769144617736841,NA,NA,NA,NA
"70",6,"othcyc",14241.1268513855,47850.1862206553,3.36,NA,NA,NA,NA
"71",6,"other",175553.567919519,27330.6211414862,0.155682515971511,NA,NA,NA,NA
"72",6,"pdiapfor",482674.552431284,1283914.30946722,2.66,NA,NA,NA,NA
"73",6,"pdiapjuv",922808.693264463,1061229.99725413,1.15,NA,NA,NA,NA
"74",6,"sino",597357.129993586,2036987.81327813,3.41,NA,NA,NA,NA
"75",7,"acartela",839.313912857357,2240.96814732914,2.67,NA,NA,NA,NA
"76",7,"allcopnaup",339717.771001336,33971.7771001336,0.1,NA,NA,NA,NA
"77",7,"daphnia",788480.881087923,3153923.52435169,4,NA,NA,NA,NA
"78",7,"eurytem",68.311920195,204.935760585,3,NA,NA,NA,NA
"79",7,"limno",10425.2630924584,1355.28420201959,0.13,NA,NA,NA,NA
"80",7,"othcalad",89572.5485417506,358182.734900119,3.99880031026656,NA,NA,NA,NA
"81",7,"othcaladjuv",968705.790186421,1453058.68527963,1.5,NA,NA,NA,NA
"82",7,"othclad",1473321.28229031,1292314.40547712,0.877143648850434,NA,NA,NA,NA
"83",7,"othcyc",5460.28307361666,18346.551127352,3.36,NA,NA,NA,NA
"84",7,"other",420285.208205831,105157.926739403,0.25020610929496,NA,NA,NA,NA
"85",7,"pdiapfor",472896.645379026,1257905.07670821,2.66,NA,NA,NA,NA
"86",7,"pdiapjuv",869160.876926307,999535.008465253,1.15,NA,NA,NA,NA
"87",7,"sino",216170.24411896,737140.532445652,3.41,NA,NA,NA,NA
"88",8,"acartela",526.277897683,1405.16198681361,2.67,NA,NA,NA,NA
"89",8,"allcopnaup",524135.190816994,52413.5190816994,0.1,NA,NA,NA,NA
"90",8,"daphnia",541926.216346235,2167704.86538494,4,NA,NA,NA,NA
"91",8,"eurytem",66.449494131,199.348482393,3,NA,NA,NA,NA
"92",8,"limno",368687.76750115,47929.4097751495,0.13,NA,NA,NA,NA
"93",8,"othcalad",55177.9088561484,220699.410818168,3.99977845107438,NA,NA,NA,NA
"94",8,"othcaladjuv",754238.945599222,1131358.41839883,1.5,NA,NA,NA,NA
"95",8,"othclad",831624.615642174,761258.238728949,0.915386851724093,NA,NA,NA,NA
"96",8,"othcyc",3081.06692843989,10352.384879558,3.36,NA,NA,NA,NA
"97",8,"other",272059.016293209,32543.4892614372,0.119619227125205,NA,NA,NA,NA
"98",8,"pdiapfor",361645.342654353,961976.611460578,2.66,NA,NA,NA,NA
"99",8,"pdiapjuv",843584.420194613,970122.083223805,1.15,NA,NA,NA,NA
"100",8,"sino",102388.806970037,349145.831767825,3.41,NA,NA,NA,NA
"101",9,"acartela",721.184552478,1925.56275511626,2.67,NA,NA,NA,NA
"102",9,"allcopnaup",146486.105176319,14648.6105176319,0.1,NA,NA,NA,NA
"103",9,"daphnia",123479.108136405,493916.432545621,4,NA,NA,NA,NA
"104",9,"eurytem",123.046161132,369.138483396,3,NA,NA,NA,NA
"105",9,"limno",10023.4569667918,1303.04940568294,0.13,NA,NA,NA,NA
"106",9,"othcalad",26856.8359609195,107419.325655572,3.9997014470313,NA,NA,NA,NA
"107",9,"othcaladjuv",445345.8280095,668018.74201425,1.5,NA,NA,NA,NA
"108",9,"othclad",446955.979635348,409988.141026778,0.917289754935755,NA,NA,NA,NA
"109",9,"othcyc",3795.46235770071,12752.7535218744,3.36,NA,NA,NA,NA
"110",9,"other",40094.3596123141,9421.35787755389,0.234979632263794,NA,NA,NA,NA
"111",9,"pdiapfor",320667.967878973,852976.794558068,2.66,NA,NA,NA,NA
"112",9,"pdiapjuv",603661.211053578,694210.392711615,1.15,NA,NA,NA,NA
"113",9,"sino",119697.288669859,408167.754364219,3.41,NA,NA,NA,NA
"114",10,"acartela",702.154003076,1874.75118821292,2.67,NA,NA,NA,NA
"115",10,"allcopnaup",141733.221188401,14173.3221188401,0.1,NA,NA,NA,NA
"116",10,"daphnia",16275.5530073085,65102.2120292338,4,NA,NA,NA,NA
"117",10,"eurytem",1227.667450827,3683.002352481,3,NA,NA,NA,NA
"118",10,"limno",82219.5875077711,10688.5463760102,0.13,NA,NA,NA,NA
"119",10,"othcalad",26132.4134445885,104486.386074979,3.99834428980443,NA,NA,NA,NA
"120",10,"othcaladjuv",499907.817785886,749861.726678829,1.5,NA,NA,NA,NA
"121",10,"othclad",283742.504395668,256246.053272711,0.90309364759601,NA,NA,NA,NA
"122",10,"othcyc",9871.98492485238,33169.869347504,3.36,NA,NA,NA,NA
"123",10,"other",11879.2497275781,3693.47007205609,0.310917789991532,NA,NA,NA,NA
"124",10,"pdiapfor",321382.327180158,854876.99029922,2.66,NA,NA,NA,NA
"125",10,"pdiapjuv",502873.66288845,578304.712321717,1.15,NA,NA,NA,NA
"126",10,"sino",168562.978828318,574799.757804565,3.41,NA,NA,NA,NA
"127",11,"acartela",238.556651802,636.94626031134,2.67,NA,NA,NA,NA
"128",11,"allcopnaup",65044.9376582657,6504.49376582657,0.1,NA,NA,NA,NA
"129",11,"daphnia",83846.9712558653,335387.885023461,4,NA,NA,NA,NA
"130",11,"eurytem",4146.49426169213,12439.4827850764,3,NA,NA,NA,NA
"131",11,"limno",123779.714377322,16091.3628690518,0.13,NA,NA,NA,NA
"132",11,"othcalad",8784.43102351219,34745.7673309028,3.95538051786201,NA,NA,NA,NA
"133",11,"othcaladjuv",284554.089927493,426831.13489124,1.5,NA,NA,NA,NA
"134",11,"othclad",180164.357078998,129488.908953648,0.71872656197402,NA,NA,NA,NA
"135",11,"othcyc",6627.2346400483,22267.5083905623,3.36,NA,NA,NA,NA
"136",11,"other",3813.29016743246,1908.59173276364,0.500510490668672,NA,NA,NA,NA
"137",11,"pdiapfor",138366.667667871,368055.335996538,2.66,NA,NA,NA,NA
"138",11,"pdiapjuv",178967.232936991,205812.31787754,1.15,NA,NA,NA,NA
"139",11,"sino",195111.393042443,665329.85027473,3.41,NA,NA,NA,NA
"140",12,"acartela",62.8,167.676,2.67,NA,NA,NA,NA
"141",12,"allcopnaup",96118.7736092862,9611.87736092862,0.1,NA,NA,NA,NA
"142",12,"daphnia",12466.8656151774,49867.4624607096,4,NA,NA,NA,NA
"143",12,"eurytem",313.2,939.6,3,NA,NA,NA,NA
"144",12,"limno",100129.93340112,13016.8913421457,0.13,NA,NA,NA,NA
"145",12,"othcalad",4446.20945956966,17767.3378382786,3.99606406307235,NA,NA,NA,NA
"146",12,"othcaladjuv",81454.7296704456,122182.094505668,1.5,NA,NA,NA,NA
"147",12,"othclad",26177.3792949876,19766.6180371171,0.755103015254928,NA,NA,NA,NA
"148",12,"othcyc",2385.23815783754,8014.40021033415,3.36,NA,NA,NA,NA
"149",12,"other",13735.1654828374,2945.47146458357,0.214447468307829,NA,NA,NA,NA
"150",12,"pdiapfor",51585.29992592,137216.897802947,2.66,NA,NA,NA,NA
"151",12,"pdiapjuv",13204.1,15184.715,1.15,NA,NA,NA,NA
"152",12,"sino",91964.1715351138,313597.824934738,3.41,NA,NA,NA,NA
"153",9,NA,NA,NA,0,2011,"amphipod",0,67.1658
"154",9,NA,NA,NA,62.0410329068979,2011,"mysid",4167.03560801812,67.1658
"155",9,NA,NA,NA,0,2012,"amphipod",0,91.9189
"156",9,NA,NA,NA,56.0217090887168,2012,"mysid",5149.45387555485,91.9189
"157",9,NA,NA,NA,0.193188341622858,2013,"amphipod",6.63473845081663,34.3433687306502
"158",9,NA,NA,NA,50.7992801209312,2013,"mysid",1744.61840844473,34.3433687306502
"159",9,NA,NA,NA,0.121713430214198,2014,"amphipod",14.415629024565,118.439099113348
"160",9,NA,NA,NA,67.4130532153975,2014,"mysid",7984.34129131184,118.439099113348
"161",9,NA,NA,NA,0.747803432610304,2015,"amphipod",32.7514354098309,43.796850858932
"162",9,NA,NA,NA,35.1791135103083,2015,"mysid",1540.73438776041,43.796850858932
"163",9,NA,NA,NA,0.000776206419884848,2016,"amphipod",0.063036845872748,81.2114461538462
"164",9,NA,NA,NA,56.5053851553234,2016,"mysid",4588.88404394388,81.2114461538462
"165",9,NA,NA,NA,0.00459344260790413,2017,"amphipod",0.996118346245223,216.8566
"166",9,NA,NA,NA,63.7959396255429,2017,"mysid",13834.5705610005,216.8566
"167",9,NA,NA,NA,0.0367662988451986,2018,"amphipod",0.863547218583306,23.4874666666667
"168",9,NA,NA,NA,49.6773879362478,2018,"mysid",1166.79599323969,23.4874666666667
"169",9,NA,NA,NA,0.13960482508789,2019,"amphipod",36.499456935324,261.448391288376
"170",9,NA,NA,NA,69.7265885728505,2019,"mysid",18229.9044123982,261.448391288376
"171",10,NA,NA,NA,0,2011,"amphipod",0,23.1617
"172",10,NA,NA,NA,73.9063459471151,2011,"mysid",1711.7966129233,23.1617
"173",10,NA,NA,NA,0,2012,"amphipod",0,250.011703086625
"174",10,NA,NA,NA,93.0146332553493,2012,"mysid",23254.7468721477,250.011703086625
"175",10,NA,NA,NA,0.109084369823406,2013,"amphipod",5.2872921050811,48.4697497326203
"176",10,NA,NA,NA,58.124250249103,2013,"mysid",2817.26786297022,48.4697497326203
"177",10,NA,NA,NA,0.0362452182236091,2014,"amphipod",3.65513164620127,100.84452033511
"178",10,NA,NA,NA,74.3783986189905,2014,"mysid",7500.65393202574,100.84452033511
"179",10,NA,NA,NA,0.575176519192674,2015,"amphipod",30.1311199752399,52.385865851291
"180",10,NA,NA,NA,107.742972184885,2015,"mysid",5644.20888729676,52.385865851291
"181",10,NA,NA,NA,0,2016,"amphipod",0,65.0195490196079
"182",10,NA,NA,NA,86.2790323932456,2016,"mysid",5609.82377605697,65.0195490196079
"183",10,NA,NA,NA,0,2017,"amphipod",0,3.0652685243559
"184",10,NA,NA,NA,92.7154911529636,2017,"mysid",284.197876751377,3.0652685243559
"185",10,NA,NA,NA,0.402946448817874,2018,"amphipod",15.631468702264,38.7929183843711
"186",10,NA,NA,NA,103.762221481495,2018,"mysid",4025.23938931266,38.7929183843711
"187",10,NA,NA,NA,0.0175057549070898,2019,"amphipod",1.20462788068004,68.8132495327103
"188",10,NA,NA,NA,83.5491789501616,2019,"mysid",5749.29049935054,68.8132495327103
"189",11,NA,NA,NA,0,2011,"amphipod",0,75.3710123739386
"190",11,NA,NA,NA,113.140619470592,2011,"mysid",8527.52303011303,75.3710123739386
"191",11,NA,NA,NA,0,2012,"amphipod",0,48.6947040895394
"192",11,NA,NA,NA,70.0245867372434,2012,"mysid",3409.82653016235,48.6947040895394
"193",11,NA,NA,NA,0.118289906801627,2013,"amphipod",5.42060859143614,45.8247769230769
"194",11,NA,NA,NA,87.4738369393121,2013,"mysid",4008.46906434958,45.8247769230769
"195",11,NA,NA,NA,0.118700521891361,2014,"amphipod",9.37164785618439,78.9520358197048
"196",11,NA,NA,NA,65.4834769621785,2014,"mysid",5170.05381871674,78.9520358197048
"197",11,NA,NA,NA,0.6099849568763,2015,"amphipod",5.55226607297515,9.1023
"198",11,NA,NA,NA,77.6133171425608,2015,"mysid",706.459696626731,9.1023
"199",11,NA,NA,NA,0,2016,"amphipod",0,48.6703438914027
"200",11,NA,NA,NA,128.542142940359,2016,"mysid",6256.19030144511,48.6703438914027
"201",11,NA,NA,NA,0.903455819699582,2017,"amphipod",36.5745013249893,40.4828886233209
"202",11,NA,NA,NA,58.0829740047307,2017,"mysid",2351.36656754476,40.4828886233209
"203",11,NA,NA,NA,0.415366535299764,2018,"amphipod",15.3936879361201,37.0604914645103
"204",11,NA,NA,NA,168.974049600966,2018,"mysid",6262.26132296035,37.0604914645103
"205",11,NA,NA,NA,0.519418696186563,2019,"amphipod",1.51627445021334,2.91917572729944
"206",11,NA,NA,NA,80.5670963689063,2019,"mysid",235.189512139106,2.91917572729944
"207",12,NA,NA,NA,0,2011,"amphipod",0,6.84677142857143
"208",12,NA,NA,NA,139.202122867696,2011,"mysid",953.08511764703,6.84677142857143
"209",12,NA,NA,NA,0,2012,"amphipod",0,4.69197552447552
"210",12,NA,NA,NA,134.256076882303,2012,"mysid",629.926226743871,4.69197552447552
"211",12,NA,NA,NA,3.44371551474348,2013,"amphipod",17.2751385012206,5.0164243902439
"212",12,NA,NA,NA,121.453114499241,2013,"mysid",609.260365845079,5.0164243902439
"213",12,NA,NA,NA,2.90779047918159,2014,"amphipod",14.3801960840318,4.94540311173975
"214",12,NA,NA,NA,88.250815490611,2014,"mysid",436.435857540838,4.94540311173975
"215",12,NA,NA,NA,3.45508587324069,2015,"amphipod",9.09764670128003,2.63311739130435
"216",12,NA,NA,NA,86.237712932065,2015,"mysid",227.074021707732,2.63311739130435
"217",12,NA,NA,NA,5.45759221918563,2016,"amphipod",16.3979165663307,3.00460641025641
"218",12,NA,NA,NA,145.57141205288,2016,"mysid",437.384797804161,3.00460641025641
"219",12,NA,NA,NA,0.318451100752641,2017,"amphipod",6.53820883490782,20.5312803738318
"220",12,NA,NA,NA,126.250106450451,2017,"mysid",2592.07633276031,20.5312803738318
"221",12,NA,NA,NA,27.8308205303884,2018,"amphipod",9.23841728962129,0.331949152542373
"222",12,NA,NA,NA,109.755672638509,2018,"mysid",36.4333025190712,0.331949152542373
"223",12,NA,NA,NA,1.01305937849387,2019,"amphipod",1.45764086475313,1.43885037313433
"224",12,NA,NA,NA,89.7165550945001,2019,"mysid",129.088698774048,1.43885037313433
