"Year","Month","Region","latitude","longitude","Database","LogNumber","Project","Date","Station","SerialNumber","Species","SurfaceTemperature","SurfaceConductivity","SurfacePPT","Secchi","Turbidity","ForkLength","TotalBodyWeight","GutContents","Acanthocyclops spp","Acartia spp","Acartia copepodid","Acartiella sinensis","Acartiella copepodid","Barnacle nauplii","Bosmina spp","Ceriodaphnia spp","Calanoid copepodid","Chironomid larvae","Clams","Copepod nauplii","Corophium type","Crab megalope","Crab zoea","Cumaceans","Cyclopoid copepodid","Daphnia spp","Diaphanosoma spp","Diaptomus spp","Diaptomus copepodid","Eurytemora spp","Eurytemora copepodid","Eurytemora nauplii","Fish eggs","Gammarus type","Harpacticoids","Hyperacanthomysis longirostris","Isopods","Limnoithona spp","Limnoithona copepodid","Longfin Smelt","Neomysis kadiakensis","Neomysis mercedis","Oithona davisae","Oithona copepodid","Osphranticum","Ostracods","Other calanoid","Other cladocera","Other cyclopoid","Other insect larvae","Other malacostraca","Other zooplankton","Pacific Herring","Palaemon","Prickly Sculpin","Pseudodiaptomus forbesi","Pseudodiaptomus marinus","Pseudodiaptomus spp","Pseudodiaptomus copepodid","Pseudodiaptomus nauplii","Sinocalanus spp","Sinocalanus copepodid","Sinocalanus nauplii","Synchaeta","Terrestrial invertebrates","Tortanus dextrilobatus","Tortanus spp","Tortanus copepodid","Tridentiger spp","Unid amphipod","Unid calanoid","Unid cladocera","Unid copepod","Unid cyclopoid","Unid fish","Unid mysids","Nippoleucon hinumensis","Diacyclops spp","Eucyclops spp","Other rotifer"
2018,7,"Middle",38.42158445,-121.6075834,"DOP",103,"EDSM",2018-07-19,"18-51-LSSC04","70","delta smelt",NA,539,0.24,31,48.29,48,0.84,"y",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,30,4,62,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,7,"Middle",38.42289066,-121.6071625,"DOP",104,"EDSM",2018-07-23,"18-52-LSSC02","71","delta smelt",NA,713,0.33,38.99,34,48,0.87,"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,"Lower",38.30247498,-121.6544037,"DOP",107,"EDSM",2018-07-24,"18-52-LSSC03","74","delta smelt",NA,266,0.11,49,28.29,45,0.81,"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18,0,0,5,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018,7,"Lower",38.30247498,-121.6544037,"DOP",108,"EDSM",2018-07-24,"18-52-LSSC03","75","delta smelt",NA,266,0.11,49,28.29,44,0.74,"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,"Lower",38.30247498,-121.6544037,"DOP",109,"EDSM",2018-07-24,"18-52-LSSC03","76","delta smelt",NA,275.29,0.11,44.99,29.2,47,0.83,"y",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,"Lower",38.30247498,-121.6544037,"DOP",106,"EDSM",2018-07-24,"18-52-LSSC03","73","delta smelt",NA,266,0.11,49,28.29,50,1.08,"y",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28,0,0,22,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,"Middle",38.41948509,-121.6084747,"DOP",105,"EDSM",2018-07-23,"18-52-LSSC05","72","delta smelt",NA,708,0.32,36,33.09,48,0.7,"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,"Middle",38.46915627,-121.5857697,"DOP",110,"EDSM",2018-08-01,"19-01-LSSC01","77","delta smelt",NA,755,0.35,43,28.79,47,0.82,"y",0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,883,39,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,1,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,"Middle",38.46915627,-121.5857697,"DOP",111,"EDSM",2018-08-01,"19-01-LSSC01","78","delta smelt",NA,755,0.35,43,28.79,52,0.96,"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,"Top",38.48760605,-121.5844536,"DOP",112,"EDSM",2018-08-01,"19-01-USSC03","79","delta smelt",NA,828,0.38,50,23.79,47,0.57,"y",0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,"Top",38.48760605,-121.5844536,"DOP",113,"EDSM",2018-08-01,"19-01-USSC03","80","delta smelt",NA,836,0.39,51.99,20.6,50,0.79,"y",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,"Middle",38.38444265,-121.6250788,"DOP",115,"EDSM",2018-08-08,"19-02-LSSC02","82","delta smelt",NA,567,0.25,38.99,31.79,45,0.63,"y",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,"Middle",38.38444265,-121.6250788,"DOP",114,"EDSM",2018-08-08,"19-02-LSSC02","81","delta smelt",NA,567,0.25,38.99,31.79,46,0.75,"y",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2018,8,"Middle",38.37018585,-121.6310501,"DOP",116,"EDSM",2018-08-14,"19-03-LSSC01","83","delta smelt",NA,329.89,0.14,64.99,19.1,48,0.73,"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,"Middle",38.37018585,-121.6310501,"DOP",118,"EDSM",2018-08-14,"19-03-LSSC01","85","delta smelt",NA,329.89,0.14,64.99,19.1,48,0.68,"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,82,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,"Middle",38.37018585,-121.6310501,"DOP",119,"EDSM",2018-08-14,"19-03-LSSC01","86","delta smelt",NA,329.89,0.14,64.99,19.1,47,0.74,"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,"Middle",38.37018585,-121.6310501,"DOP",120,"EDSM",2018-08-14,"19-03-LSSC01","87","delta smelt",NA,329.89,0.14,64.99,19.1,44,0.52,"y",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,30,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,"Middle",38.37018585,-121.6310501,"DOP",117,"EDSM",2018-08-14,"19-03-LSSC01","84","delta smelt",NA,329.89,0.14,64.99,19.1,40,0.46,"y",0,0,0,0,0,0,0,0,22,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,"Middle",38.39949036,-121.6181297,"DOP",121,"EDSM",2018-08-20,"19-04-LSSC03","88","delta smelt",NA,580,0.26,21.99,49.9,44,0.63,"y",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,"Lower",38.34852982,-121.6415901,"DOP",122,"EDSM",2018-08-20,"19-04-LSSC05","89","delta smelt",NA,406.7,0.18,40,34.29,43,0.51,"y",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,"Lower",38.34852982,-121.6415901,"DOP",123,"EDSM",2018-08-20,"19-04-LSSC05","90","delta smelt",NA,394.79,0.17,37.99,31.79,47,0.67,"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,28,33,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,"Lower",38.3326149,-121.6471252,"DOP",124,"EDSM",2018-08-27,"19-05-LSSC05","91","delta smelt",NA,325.1,0.14,31,30.6,50,0.84,"y",0,0,0,0,0,0,0,0,158,0,0,58,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,30,2,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,20,0,0,406,436,6,8,4,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0
2018,8,"Lower",38.3326149,-121.6471252,"DOP",126,"EDSM",2018-08-27,"19-05-LSSC05","93","delta smelt",NA,321,0.14,40,29.39,50,0.92,"y",0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,26,0,0,138,188,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0
2018,8,"Lower",38.3326149,-121.6471252,"DOP",127,"EDSM",2018-08-27,"19-05-LSSC05","94","delta smelt",NA,321,0.14,40,29.39,47,0.79,"y",0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,99,8,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
2018,8,"Lower",38.3326149,-121.6471252,"DOP",128,"EDSM",2018-08-27,"19-05-LSSC05","95","delta smelt",NA,321,0.14,40,29.39,44,0.51,"y",0,0,0,0,0,0,0,0,8,1,0,49,0,0,0,0,0,0,59,1,1,0,0,0,0,0,2,0,0,53,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,44,105,21,3,2,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0
2018,8,"Lower",38.3326149,-121.6471252,"DOP",125,"EDSM",2018-08-27,"19-05-LSSC05","92","delta smelt",NA,321,0.14,40,29.39,48,0.9,"y",0,0,0,0,0,0,0,0,26,0,0,3,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,0,238,119,17,4,1,0,0,0,0,0,0,0,0,3,38,0,0,0,0,0,0,0
2018,8,"Lower",38.3326149,-121.6471252,"DOP",130,"EDSM",2018-08-27,"19-05-LSSC05","97","delta smelt",NA,321,0.14,40,29.39,48,0.7,"y",0,0,0,0,0,0,0,0,24,0,0,428,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,9,0,0,19,81,1,0,3,0,0,0,0,0,0,0,5,4,55,0,0,1,0,0,0,0
2018,8,"Lower",38.3326149,-121.6471252,"DOP",129,"EDSM",2018-08-27,"19-05-LSSC05","96","delta smelt",NA,321,0.14,40,29.39,47,0.78,"y",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,90,8,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,0,0,46,5,47,3,0,0,0,0,0,0,0,0,3,2,12,0,0,2,0,0,0,0
2018,9,"Lower",38.35631943,-121.6380539,"DOP",131,"EDSM",2018-09-10,"19-07-LSSC02","98","delta smelt",NA,395.79,0.17,36,29.6,55,0.93,"y",0,0,0,0,0,0,0,0,19,0,0,49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,22,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,8,0,0,16,19,15,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2018,9,"Lower",38.35631943,-121.6380539,"DOP",151,"EDSM",2018-09-10,"19-07-LSSC02","100","delta smelt",NA,395.79,0.17,36,29.6,50,0.88,"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,0,0,0,0,0,0,3,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,21,15,12,4,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0
2018,9,"Lower",38.35631943,-121.6380539,"DOP",152,"EDSM",2018-09-10,"19-07-LSSC02","101","delta smelt",NA,395.79,0.17,36,29.6,55,0.91,"y",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,13,31,22,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2018,9,"Lower",38.35631943,-121.6380539,"DOP",153,"EDSM",2018-09-10,"19-07-LSSC02","102","delta smelt",NA,395.79,0.17,36,29.6,55,1.25,"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,60,0,0,40,1,19,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2018,9,"Lower",38.35631943,-121.6380539,"DOP",132,"EDSM",2018-09-10,"19-07-LSSC02","99","delta smelt",NA,395.79,0.17,36,29.6,52,0.91,"y",0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,3,44,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,9,"Lower",38.35631943,-121.6380539,"DOP",155,"EDSM",2018-09-10,"19-07-LSSC02","104","delta smelt",NA,406.2,0.18,33,32.09,54,0.84,"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,0,0,41,16,20,4,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0
2018,9,"Lower",38.35631943,-121.6380539,"DOP",156,"EDSM",2018-09-10,"19-07-LSSC02","105","delta smelt",NA,406.2,0.18,33,32.09,47,0.66,"y",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11,8,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,21,0,0,9,0,49,2,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0
2018,9,"Lower",38.35631943,-121.6380539,"DOP",157,"EDSM",2018-09-10,"19-07-LSSC02","106","delta smelt",NA,406.2,0.18,33,32.09,52,0.94,"y",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,14,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,25,0,0,12,18,14,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0
2018,9,"Lower",38.35631943,-121.6380539,"DOP",154,"EDSM",2018-09-10,"19-07-LSSC02","103","delta smelt",NA,406.2,0.18,33,32.09,43,0.54,"y",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,54,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,41,0,0,43,33,13,1,2,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0
2018,9,"Lower",38.35631943,-121.6380539,"DOP",159,"EDSM",2018-09-10,"19-07-LSSC02","108","delta smelt",NA,406.2,0.18,33,32.09,47,0.72,"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,22,8,45,4,0,0,0,0,0,0,0,0,11,0,16,0,0,1,0,0,0,0
2018,9,"Lower",38.35631943,-121.6380539,"DOP",160,"EDSM",2018-09-10,"19-07-LSSC02","109","delta smelt",NA,406.2,0.18,33,32.09,50,0.82,"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,16,27,39,4,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
2018,9,"Lower",38.35631943,-121.6380539,"DOP",161,"EDSM",2018-09-10,"19-07-LSSC02","110","delta smelt",NA,406.2,0.18,33,32.09,47,0.75,"y",0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,10,31,14,2,1,0,0,0,0,0,0,0,2,0,9,0,0,1,0,0,0,0
2018,9,"Lower",38.35631943,-121.6380539,"DOP",162,"EDSM",2018-09-10,"19-07-LSSC02","111","delta smelt",NA,406.2,0.18,33,32.09,49,0.76,"y",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,4,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0,4,16,31,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,9,"Lower",38.35631943,-121.6380539,"DOP",163,"EDSM",2018-09-10,"19-07-LSSC02","112","delta smelt",NA,406.2,0.18,33,32.09,52,0.86,"y",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,16,1,13,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0
2018,9,"Lower",38.35631943,-121.6380539,"DOP",240,"EDSM",2018-09-10,"19-07-LSSC02","113","delta smelt",NA,406.2,0.18,33,32.09,48,0.74,"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,8,1,60,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
